seed,n_val,threshold_95_val,boot_ci95_lo,boot_ci95_hi,boot_ci95_rel_width,threshold_95_testbenign,thr_ratio_test_over_val,test_benign_fpr_at_val_thr,ks_stat_val_vs_testbenign,ks_pvalue,val_err_median,test_err_median
0,653,0.08978675752878187,0.07159359455108642,0.12888625264167786,0.6380969718415971,0.09777455031871796,1.088964041132408,0.05820260958803695,0.12298722551493417,2.578476378242128e-08,0.014908749610185623,0.01584615558385849
1,653,0.08491270095109933,0.05214463546872139,0.11469332128763199,0.736623439347807,0.08078435063362122,0.9513812389520432,0.04779357865415628,0.07589681716651553,0.001963616932777098,0.008403615094721317,0.008872754871845245
2,653,0.10089417546987527,0.05807226747274393,0.1438644975423813,0.8503189571656986,0.10290422290563583,1.0199223337363088,0.052045154669403314,0.06239087333437656,0.018436817385649427,0.006849353201687336,0.007292510941624641
3,653,0.09607517421245573,0.05406922101974481,0.10576632618904114,0.5380901527690805,0.09921348094940186,1.0326651162766172,0.0604017006304061,0.05528844912556102,0.05023402775046211,0.007557941600680351,0.007848800159990788
4,653,0.10465369373559946,0.08502963185310364,0.1553574651479721,0.6720052659827471,0.1190672442317009,1.1377261516685335,0.056150124615159065,0.04685085447989308,0.1412219301750087,0.009728549048304558,0.010002115741372108
5,653,0.04287732690572738,0.034322913736104965,0.05164910852909088,0.4040875689634363,0.054246287792921066,1.265150878276301,0.06934467086937399,0.05815142094509053,0.03402506593623644,0.006139767821878195,0.006564403418451548
6,653,0.1092524468898773,0.08257763683795918,0.1632723808288573,0.7386081162304369,0.11495412886142731,1.0521881397978858,0.05409763964228119,0.10636034604420679,2.5146588173520064e-06,0.011492295190691948,0.012445003725588322
7,653,0.07523494511842718,0.06546566635370255,0.09758060425519943,0.42686198349643006,0.07822762429714203,1.039777781109617,0.05497727605922885,0.059603112898123596,0.027718148877909236,0.008326031267642975,0.008807436563074589
8,653,0.11536640375852582,0.10005560070276255,0.17075707018375397,0.6128427963220309,0.12005308270454407,1.040624296097744,0.053364609294824804,0.09951543663126643,1.3646737541834993e-05,0.02329045534133911,0.028890540823340416
9,653,0.08032118827104566,0.06477372050285338,0.09883721172809601,0.4240909772187958,0.09166214615106583,1.1411950958911345,0.0647998827151444,0.053933970691807775,0.059987399726481296,0.008313635364174843,0.009195473045110703
10,653,0.050841983407735776,0.04008840024471283,0.05856338515877724,0.36338049139234363,0.056953124701976776,1.1201987193385372,0.06084151883887993,0.05228291244519392,0.07403096200642492,0.008764869533479214,0.008909518830478191
11,653,0.10515065044164651,0.0871826127171516,0.1448407620191574,0.5483384939592293,0.1117844209074974,1.063088249459116,0.062454185603283974,0.05405273732390714,0.059067040036305224,0.008129698224365711,0.008973293006420135
12,653,0.11453232169151305,0.09952739626169205,0.16955021917819968,0.6113804547253527,0.11584125459194183,1.011428502287366,0.051165518252455654,0.09622477022922409,2.955761776238936e-05,0.022335093468427658,0.02775385230779648
13,653,0.08587242811918258,0.06619323633611167,0.11339089274406433,0.5496252690380072,0.08919793367385864,1.0387261153261043,0.05409763964228119,0.06541459545368516,0.011598232426000124,0.006120335776358843,0.007023140788078308
14,653,0.06851890832185745,0.059348855167627335,0.08068826794624329,0.31143830661132565,0.0668078064918518,0.9750273045512051,0.04838000293212139,0.05176608676070858,0.07895847297568785,0.008523505181074142,0.00898488238453865
15,653,0.06101732999086379,0.051036182790994644,0.07763554155826569,0.43593121448044025,0.07223547995090485,1.183851865719473,0.06509309485412697,0.056531569809746635,0.042519754337841865,0.00914716999977827,0.009662915021181107
16,653,0.0733539402484893,0.04121002331376075,0.1033998355269432,0.8478046578344949,0.07985815405845642,1.0886689084176506,0.06084151883887993,0.057763015891154984,0.03591481015393059,0.006032017059624195,0.0062761022709310055
17,653,0.1528607279062271,0.06675981879234309,0.20116759836673737,0.8792826085248472,0.1802414059638977,1.1791217301704031,0.06274739774226654,0.04700037920007867,0.1388672770043739,0.009981703013181686,0.010265671648085117
18,653,0.1053469777107238,0.07980875968933104,0.1417231261730194,0.5877184882674218,0.11357589811086655,1.0781125437004833,0.0584958217270195,0.05992887921792734,0.026455874999214424,0.009294651448726654,0.00986047275364399
19,653,0.089127978682518,0.07203145772218701,0.13938552141189567,0.7557005632275133,0.10101061314344406,1.1333210360716592,0.05922885207447588,0.06605355544414791,0.01048691864854466,0.010519476607441902,0.011507007293403149
