free_bits_lambda,n_seeds,val_auc_mean,val_auc_std,active_dims_mean,active_dims_std,active_ratio_mean,meets_reference_floor
0.0,5,0.8180736105382994,0.019359033493482527,3.4,3.209361307176242,0.33999999999999997,True
0.1,5,0.8247342377256848,0.025288810909022186,10.0,0.0,1.0,True
0.25,5,0.7983612443239244,0.049839697747371806,10.0,0.0,1.0,False
0.5,5,0.812583280452041,0.011913256393520906,10.0,0.0,1.0,True
1.0,5,0.82448334159322,0.016733404437748522,10.0,0.0,1.0,True
