latent_dim,n_seeds,val_auc_mean,val_auc_std,active_dims_mean,active_dims_std,active_ratio_mean,active_ratio_std
4,5,0.8169338343902421,0.03404423238619264,2.8,0.8366600265340756,0.7,0.2091650066335189
6,5,0.8164270233202362,0.021243879878888237,2.6,1.3416407864998738,0.4333333333333333,0.22360679774997902
8,5,0.8100716056635505,0.009731613531526127,3.2,1.6431676725154984,0.4,0.2053959590644373
10,5,0.8180736105382994,0.019359033493482527,3.4,3.209361307176242,0.33999999999999997,0.3209361307176243
16,5,0.7806273572527745,0.04489494335773309,9.8,3.8340579025361627,0.6125,0.23962861890851017
