contamination_pct,n_seeds,pr_auc_mean,pr_auc_median,pr_auc_std,diff_from_0pct_mean,ci95_lo,ci95_hi,significant
0,20,0.7155507369668037,0.7152944663536072,0.008612948594546904,0.0,0.0,0.0,False
1,20,0.6974784227771181,0.6991268120249898,0.022283415538860932,-0.01807231418968558,-0.029299681823800546,-0.008806578357143099,True
2,20,0.6912696340709001,0.6904487027279976,0.01074836949153157,-0.024281102895903572,-0.029863276581328608,-0.01821462408873437,True
4,20,0.6759387219639041,0.679050243290779,0.02653162206767377,-0.03961201500289957,-0.052809297974750966,-0.0288861491618613,True
8,20,0.6390399376059255,0.6670933932739529,0.06042610912800823,-0.07651079936087823,-0.10448055091737644,-0.0522026511201782,True
12,20,0.6341171226201693,0.6649374151295746,0.08628249161255046,-0.08143361434663443,-0.12142592812941877,-0.047409016146097424,True
15,20,0.6399496911770244,0.666412763175338,0.0915245663666127,-0.07560104578977933,-0.11918860215517227,-0.0405620452808546,True
20,20,0.6619908618596367,0.6857326968494062,0.07134055038852849,-0.053559875107166977,-0.08745099997808485,-0.026594236184881208,True
22,20,0.6648243461201248,0.7098285074297601,0.08617390600061173,-0.05072639084667896,-0.089969129815352,-0.016980937194224933,True
