contamination_pct,seed,threshold_95,threshold_99,pr_auc,roc_auc,f1,f2,benign_fpr,attack_recall
0,0,0.1494414985179899,1.446033024787903,0.7129360480095868,0.8454400737296301,0.6351351351351351,0.6403269754768393,0.0428134556574923,0.6438356164383562
0,1,0.1157044231891631,1.0822560143470883,0.7188342693969951,0.8688995014871602,0.6351351351351351,0.6403269754768393,0.0428134556574923,0.6438356164383562
0,2,0.0980843901634215,0.3125873553752903,0.7221736880872476,0.8620920782539483,0.6351351351351351,0.6403269754768393,0.0428134556574923,0.6438356164383562
0,3,0.1106515228748319,0.3441283631324771,0.7137418491596578,0.8534623601859996,0.6308724832214765,0.6385869565217391,0.0443425076452599,0.6438356164383562
0,4,0.140468806028366,0.9307509136199962,0.7222950336902402,0.8794143521427673,0.6714285714285714,0.6545961002785515,0.0305810397553516,0.6438356164383562
1,0,0.1753637373447417,0.5417644214630128,0.6850416340181751,0.8333333333333334,0.6351351351351351,0.6403269754768393,0.0428134556574923,0.6438356164383562
1,1,0.1893702030181884,0.4950263833999637,0.693389168572262,0.7673746386829206,0.6351351351351351,0.6403269754768393,0.0428134556574923,0.6438356164383562
1,2,0.1150040954351424,0.3711758744716645,0.7141056581985522,0.8641866700180134,0.6861313868613139,0.6601123595505618,0.0259938837920489,0.6438356164383562
1,3,0.1613588064908981,0.4244312477111822,0.721860478346485,0.8442252105064723,0.6282051282051282,0.6533333333333333,0.0519877675840978,0.6712328767123288
1,4,0.1780779898166655,0.4888710284233101,0.6926663385403297,0.7787273260441542,0.6619718309859155,0.6509695290858726,0.0336391437308868,0.6438356164383562
2,0,0.1463475346565246,0.569354355335236,0.7020576917352955,0.8534204683507185,0.6308724832214765,0.6385869565217391,0.0443425076452599,0.6438356164383562
2,1,0.1697409749031066,0.449167947769165,0.6835545948456874,0.8305475262871267,0.6308724832214765,0.6385869565217391,0.0443425076452599,0.6438356164383562
2,2,0.1559113740921019,0.4068465042114263,0.6968750481805099,0.8462569645176155,0.6351351351351351,0.6403269754768393,0.0428134556574923,0.6438356164383562
2,3,0.1449584543704986,0.4225533235073101,0.6897726694862986,0.8294583385698127,0.6143790849673203,0.6317204301075269,0.0504587155963302,0.6438356164383562
2,4,0.1333162486553191,0.5382304096221927,0.6998309622740474,0.8491684470696662,0.6394557823129252,0.6420765027322405,0.0412844036697247,0.6438356164383562
4,0,0.2084576636552808,0.7344201731681826,0.6945551303901448,0.8286414477818274,0.6619718309859155,0.6509695290858726,0.0336391437308868,0.6438356164383562
4,1,0.2103027313947675,0.5641261196136481,0.6601001782912832,0.7681286917179841,0.6143790849673203,0.6317204301075269,0.0504587155963302,0.6438356164383562
4,2,0.1425574421882629,0.3992726671695716,0.6974975172003962,0.8293326630639688,0.6714285714285714,0.6545961002785515,0.0305810397553516,0.6438356164383562
4,3,0.2443258583545684,1.5714352989196778,0.5880746549905967,0.7561057349922501,0.5986394557823129,0.6010928961748634,0.0458715596330275,0.6027397260273972
4,4,0.1180252507328986,0.3561917960643782,0.6566571618953343,0.8248502366888693,0.6428571428571429,0.6267409470752089,0.0336391437308868,0.6164383561643836
8,0,0.268163430690765,1.2375527334213257,0.6751559284011017,0.7709773365171128,0.6666666666666666,0.6527777777777778,0.0321100917431192,0.6438356164383562
8,1,0.3861440181732177,1.9024606704711933,0.4782774676253755,0.7174186251099661,0.4661654135338345,0.4403409090909091,0.0443425076452599,0.4246575342465753
8,2,0.1876062333583831,0.523656314611437,0.6746053897868051,0.8000712161199782,0.6438356164383562,0.6438356164383562,0.0397553516819571,0.6438356164383562
8,3,0.3178140401840206,0.786360890865326,0.6788969782204053,0.7797117841732647,0.6573426573426573,0.649171270718232,0.0351681957186544,0.6438356164383562
8,4,1.277534246444702,4.401291809082033,0.6989078624830675,0.8085962045997235,0.6527777777777778,0.6473829201101928,0.036697247706422,0.6438356164383562
12,0,0.8102504968643165,2.0303984451293955,0.6762433086142574,0.8287042855347493,0.6225165562913907,0.6351351351351351,0.0474006116207951,0.6438356164383562
12,1,0.3874895632266983,2.6756440258026126,0.6524374540007338,0.8052867496125006,0.6174496644295302,0.625,0.0458715596330275,0.6301369863013698
12,2,0.3679383993148803,1.632131605148316,0.680464731267657,0.7803611076201248,0.6103896103896104,0.6300268096514745,0.0519877675840978,0.6438356164383562
12,3,1.2043093919754029,3.785134563446047,0.7102783415725031,0.818252272632064,0.6351351351351351,0.6403269754768393,0.0428134556574923,0.6438356164383562
12,4,1.274034738540649,4.319930953979492,0.6974276833214244,0.7922583888400151,0.6438356164383562,0.6438356164383562,0.0397553516819571,0.6438356164383562
15,0,0.20085991621017452,1.0692771911621095,0.6657436274472668,0.7627246449666959,0.6573426573426573,0.649171270718232,0.035168195718654434,0.6438356164383562
15,1,0.41772645115852297,2.134132251739506,0.657068848327809,0.7671651795065141,0.6351351351351351,0.6403269754768393,0.04281345565749235,0.6438356164383562
15,2,1.2320039510726908,5.099355163574221,0.7026792206456217,0.8101043106698504,0.6308724832214765,0.6385869565217391,0.04434250764525994,0.6438356164383562
15,3,1.1257979393005368,2.3208378505706797,0.5453979610871162,0.8034435088601231,0.453125,0.41786743515850144,0.039755351681957186,0.3972602739726027
15,4,1.278419065475464,4.132694454193117,0.72526998522945,0.8477022328348205,0.6308724832214765,0.6385869565217391,0.04434250764525994,0.6438356164383562
15,5,0.888783204555511,2.4772590255737312,0.40137510087828954,0.7217753759792216,0.3442622950819672,0.30791788856304986,0.04281345565749235,0.2876712328767123
15,6,0.40740486383437996,1.98421166419983,0.604900962629218,0.7726949017636462,0.6187050359712231,0.6005586592178771,0.035168195718654434,0.589041095890411
15,7,0.9024781584739683,2.411075878143312,0.6815956056378095,0.8404339994135144,0.6482758620689655,0.6456043956043956,0.0382262996941896,0.6438356164383562
15,8,0.7982886552810666,2.6998826122283957,0.7012044184359617,0.8261698295002303,0.6308724832214765,0.6385869565217391,0.04434250764525994,0.6438356164383562
15,9,0.9501590728759759,2.2598530864715585,0.398206736106435,0.7065058020191864,0.35294117647058826,0.3106508875739645,0.0382262996941896,0.2876712328767123
15,10,0.8749150872230528,2.155614376068117,0.6377590097765274,0.8338569812743497,0.6258503401360545,0.6284153005464481,0.04281345565749235,0.6301369863013698
15,11,1.260787415504455,4.776097640991216,0.6993091567493963,0.813434711574714,0.6438356164383562,0.6438356164383562,0.039755351681957186,0.6438356164383562
15,12,0.8800628900527953,2.9034977531433115,0.6614513634444876,0.849231284822588,0.6308724832214765,0.6385869565217391,0.04434250764525994,0.6438356164383562
15,13,0.420028257369995,1.4682150983810431,0.6650203169391858,0.7364584642453186,0.6143790849673203,0.6317204301075269,0.05045871559633028,0.6438356164383562
15,14,1.486128568649291,4.1008271217346195,0.7063820775590519,0.816932679820703,0.6266666666666667,0.6368563685636857,0.045871559633027525,0.6438356164383562
15,15,0.2149443089962005,0.6904916906356822,0.6670818989034093,0.7370658958568974,0.6266666666666667,0.6368563685636857,0.045871559633027525,0.6438356164383562
15,16,0.39582825899124136,1.2386619567871098,0.6342216473975862,0.7725692262578023,0.6382978723404256,0.625,0.035168195718654434,0.6164383561643836
