attack_type,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
apache_bench,6821,1487,0.5424496835856522,0.031607784700869945,0.9214814896609528,0.011737407903260503,0.05043664292282946,0.01802298748183933,0.061232468357523336,0.0017490622262789717,0.03317641784353284,0.012036219465284735
portscan,6821,694,0.9897262747627434,0.0027176225715133994,0.998498872147255,0.0005725697193785172,0.7631803084466462,0.009586955783303874,0.061232468357523336,0.0017490622262789717,0.9884726224783861,0.01996600354546261
slowloris,6821,929,1.0,0.0,1.0,0.0,0.8164789676317312,0.0042711327051085475,0.061232468357523336,0.0017490622262789717,1.0,0.0
