attack_type,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
apache_bench,6821,1487,0.9133199839322762,0.022239487596785814,0.9834443263861906,0.0034153061901036267,0.8275294986391303,0.014091054059659646,0.06406685236768801,0.0021892954879149814,0.9134723156242995,0.029230976575123135
portscan,6821,694,0.9975254147238982,0.00146439876017229,0.9996893951140605,0.00019891664237005552,0.7605817550958046,0.006197929051570211,0.06406685236768801,0.0021892954879149814,1.0,0.0
slowloris,6821,929,1.0,0.0,1.0,0.0,0.8096088337782636,0.005250749546134646,0.06406685236768801,0.0021892954879149814,1.0,0.0
