attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__portscan,recall__apache_bench,recall__slowloris
portscan,0,6821,694,0.09284669756889331,0.9988835576005562,0.999877476195526,0.753528773072747,0.06655915554903973,1.0,1.0,,
portscan,1,6821,694,0.12954330146312698,0.9959739616754172,0.9994811750624344,0.7651598676957001,0.062454185603283974,1.0,1.0,,
portscan,2,6821,694,0.16586200892925254,0.9977187248957212,0.9997095340842211,0.7630566245189665,0.06318721595074037,1.0,1.0,,
apache_bench,0,6821,1487,0.09284669756889331,0.9380761234269229,0.9873564835523666,0.8349339735894358,0.06655915554903973,0.9354404841963685,,0.9354404841963685,
apache_bench,1,6821,1487,0.12954330146312698,0.8950304865605304,0.9819190448580065,0.8363746958637469,0.062454185603283974,0.9246805648957633,,0.9246805648957633,
apache_bench,2,6821,1487,0.16586200892925254,0.9068533418093753,0.9810574507481988,0.8112798264642083,0.06318721595074037,0.8802958977807667,,0.8802958977807667,
slowloris,0,6821,929,0.09284669756889331,1.0,1.0,0.8036332179930796,0.06655915554903973,1.0,,,1.0
slowloris,1,6821,929,0.12954330146312698,1.0,1.0,0.8134851138353766,0.062454185603283974,1.0,,,1.0
slowloris,2,6821,929,0.16586200892925254,1.0,1.0,0.8117081695063346,0.06318721595074037,1.0,,,1.0
