duration_scaled,orig_bytes_scaled,resp_bytes_scaled,orig_pkts_scaled,resp_pkts_scaled,bytes_per_sec_scaled,pkts_per_sec_scaled,byte_ratio_scaled,conn_count_60s_scaled,unique_dst_ports_60s_scaled,unique_dst_ips_60s_scaled,failed_conn_ratio_60s_scaled,proto_tcp,proto_udp,service_dns,service_http,service_none,service_ssh,conn_state_REJ,conn_state_RSTO,conn_state_S1,conn_state_SF,is_attack,actual_attack_pct,window_id,ts
-0.3755709713022582,-0.193135712949175,-0.46275476070377664,-0.2477527305737651,-0.4040441742631775,-0.24097340253984884,-0.23276734957537507,-0.13108892716169593,-2.0434567948648055,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.02358
-0.37555759526303567,-0.014961599571277727,0.036860373028558484,0.0157524966094153,0.02877450348397103,-0.23209201727532025,-0.22770507113163316,-0.2667034327590226,-2.1098575111576614,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.022332
-0.37556834520038374,-0.193135712949175,-0.45166542063198994,-0.2477527305737651,-0.4040441742631775,-0.2409750410342605,-0.23276816556641466,-0.14940991841188705,-2.0766571530112334,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.023414
-0.3755547022808894,0.08497446636316348,1.548664581589146,0.5427629509757761,1.2763106922845755,-0.22711049712302597,-0.21757621096468738,-0.45754386956452053,-2.143057869304089,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.022143
-0.3755724017805151,-0.193135712949175,-0.4300815709903515,-0.23018571542821972,-0.37858425204275703,-0.24097250977059248,-0.23242878919332777,-0.18128447715615004,-2.0102564367183775,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.023807
-0.37390032215121527,0.2477096050455521,-0.12678174684303678,-0.0018145185361300583,-0.09852510761813149,-0.22221576644832858,-0.2289986277358696,0.1401467603743604,-2.176258227450517,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.867179
-0.3881167780249121,-0.28180550005175853,-0.5955506702607468,-0.3355878063014919,-0.53134378536528,-0.21084188775721116,-0.21319945813973537,-0.14862058281123522,-1.9770560785719498,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.276401
-0.38809942013203425,-0.28180550005175853,-0.6191102069266692,-0.3355878063014919,-0.5568037075857005,-0.21126097113167652,-0.21345724361964985,-0.0583203338589603,-2.0102564367183775,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.274782
-0.3879150485650643,-0.1067609085715995,-0.5306291697638502,-0.26531974571931044,-0.45496401870401854,-0.14645134515148261,-0.20525102985971622,0.3306186046302633,-2.0766571530112334,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.257523
-0.3881180056741624,-0.28180550005175853,-0.5573540544579261,-0.3180207911559465,-0.5058838631448596,-0.21081190240249456,-0.21018333907976455,-0.24495311638333006,-1.9438557204255218,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.276541
-0.3880955984065421,-0.19584796526054815,1.1531235417489236,0.3670927995203225,0.9453317034191091,-0.17381652289791277,-0.09526749544055853,-0.5362672954086435,-2.0434567948648055,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.274456
-0.33870092799261803,0.2840120590593157,0.044253266409749595,0.1035875723371421,0.054234425704391534,-0.24074590670841903,-0.23406945763363596,0.011601790696268438,-2.2758593018898003,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.662377
-0.33868934538882195,0.27274578022745805,0.5233892357183254,0.3143917540836864,0.4615931812311196,-0.24090390761607972,-0.2329457051132359,-0.22883619690179471,-2.3090596600362283,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.661299
-0.33870365017139037,-0.18666803436051596,-0.45013585648415727,-0.2477527305737651,-0.4040441742631775,-0.247262323934549,-0.23594390919339517,-0.13527558557004998,-2.209458585596945,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.662652
-0.3386878508592998,-0.0034866859462375052,-0.11318562108452437,-0.036948548827220776,-0.09852510761813149,-0.24472761866113735,-0.23481986478754605,-0.17216004673630939,-2.3422600181826563,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.661183
-0.33870156850527033,0.2840120590593157,0.12959019949091255,0.12115458748268745,0.13061419236565305,-0.24074579304037969,-0.23397569179169186,-0.04895736799126378,-2.242658943743373,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.662477
-0.338615291451003,0.6366048595378244,0.6813379779285436,0.4022268298114132,0.6143527145536426,-0.2358876224461585,-0.2324839724739114,-0.0817867501533568,-2.3754603763290842,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.654404
0.01671312697730856,-0.2738773779108217,-0.5815509095187786,-0.3004537760104012,-0.5058838631448596,-0.24963182612437262,-0.23704477126903956,-0.15205439809059174,-2.641063241500507,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691962.420698
0.01671577442960488,0.013412732301549005,-0.1235314230288924,-0.036948548827220776,-0.12398502983855199,-0.24913259690222989,-0.23686831509448414,-0.1446312256632187,-2.674263599646935,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691962.420485
0.2120733503608555,0.30070284251391965,0.19850556192937224,0.17385563291932354,0.20699395902691456,-0.24901163566381898,-0.23686844791663325,-0.0766807954819366,-3.0394675392576413,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691944.120375
