attack_type_pair,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std,n_benign_dedup,n_attack_dedup
portscan+apache_bench,6821,2181,0.5952134466156528,0.0334942497967136,0.7725431215773011,0.0606429292548259,0.47194577621154776,0.007472965316602524,0.0577261398621902,0.0057730380504386,0.3355341586428244,0.002460597499312,5428,1507
portscan+slowloris,6821,1623,0.9980812198491007,0.000682448026594595,0.9994791871321242,0.0002085666516904,0.8791725801547778,0.01150249869582368,0.0577261398621902,0.0057730380504386,0.999260628465804,0.0033065700221808,5428,1179
apache_bench+slowloris,6821,2416,0.6361652193211882,0.03234999398527057,0.7950173126840465,0.0547583923855009,0.5134657567624721,0.006693220947652573,0.0577261398621902,0.0057730380504386,0.4006622516556291,0.0,5428,1608
