attack_type,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
apache_bench,6821,1487,0.19771700388417593,0.021079651891659338,0.5304327054643312,0.07863942112476222,0.039004912855680834,0.0008121990195789302,0.06954014562869569,0.006180681915168796,0.026227303295225286,0.0
portscan,6821,694,0.98737712150846,0.0026733855023698405,0.9978031622689775,0.0007358298608698758,0.7362718606090027,0.022098825506857545,0.06954014562869569,0.006180681915168796,0.9803073967339097,0.017069505901937412
slowloris,6821,929,1.0,0.0,1.0,0.0,0.7967988961437218,0.014254285764885754,0.06954014562869569,0.006180681915168796,1.0,0.0
