attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__portscan,recall__apache_bench,recall__slowloris
portscan,0,6821,694,0.08166182488203043,0.9903911956314788,0.998618860976464,0.7555797495917257,0.06582612520158335,1.0,1.0,,
portscan,1,6821,694,0.1276060491800308,0.9852925829924135,0.9971893461749547,0.7121693121693121,0.07667497434393784,0.9697406340057637,0.9697406340057637,,
portscan,2,6821,694,0.1192693531513214,0.9864475859014876,0.9976012796555137,0.7410665200659703,0.0661193373405659,0.9711815561959655,0.9711815561959655,,
apache_bench,0,6821,1487,0.08166182488203043,0.2161583341073442,0.597378718970559,0.03949367088607595,0.06582612520158335,0.026227303295225286,,0.026227303295225286,
apache_bench,1,6821,1487,0.1276060491800308,0.2022545991485835,0.5500900291407907,0.03806734992679356,0.07667497434393784,0.026227303295225286,,0.026227303295225286,
apache_bench,2,6821,1487,0.1192693531513214,0.17473807839660013,0.4438293682816437,0.03945371775417299,0.0661193373405659,0.026227303295225286,,0.026227303295225286,
slowloris,0,6821,929,0.08166182488203043,1.0,1.0,0.8053749458170785,0.06582612520158335,1.0,,,1.0
slowloris,1,6821,929,0.1276060491800308,1.0,1.0,0.7803443931121378,0.07667497434393784,1.0,,,1.0
slowloris,2,6821,929,0.1192693531513214,1.0,1.0,0.8046773495019489,0.0661193373405659,1.0,,,1.0
