attack_type,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
apache_bench,6821,1487,0.2125831182961279,0.05034180342978203,0.5488916781616539,0.1383165936114754,0.039926305061706545,0.0002873824492512326,0.0626985290524361,0.002059454381635677,0.026227303295225286,0.0
portscan,6821,694,0.9850791982944714,0.0007541773784051986,0.9973765822646653,0.0002361681412204693,0.747937663376418,0.005870858998739111,0.0626985290524361,0.002059454381635677,0.9654178674351584,0.0
slowloris,6821,929,1.0,0.0,1.0,0.0,0.812912423696628,0.00500052445422535,0.0626985290524361,0.002059454381635677,1.0,0.0
