attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__portscan,recall__apache_bench,recall__slowloris
portscan,0,6821,694,0.16938836872577667,0.9842143715258506,0.9971054807432715,0.7423822714681441,0.06465327664565312,0.9654178674351584,0.9654178674351584,,
portscan,1,6821,694,0.23122075796127295,0.9856001527048978,0.9975376940259505,0.7540799099606078,0.06054830669989737,0.9654178674351584,0.9654178674351584,,
portscan,2,6821,694,0.16822442412376398,0.9854230706526662,0.9974865720247735,0.747350808700502,0.0628940038117578,0.9654178674351584,0.9654178674351584,,
apache_bench,0,6821,1487,0.16938836872577667,0.27018219312790487,0.7054700331574225,0.03965429588205389,0.06465327664565312,0.026227303295225286,,0.026227303295225286,
apache_bench,1,6821,1487,0.23122075796127295,0.19057011950131358,0.49787692326803956,0.040226921093347086,0.06054830669989737,0.026227303295225286,,0.026227303295225286,
apache_bench,2,6821,1487,0.16822442412376398,0.17699704225916524,0.44332807805949953,0.03989769820971867,0.0628940038117578,0.026227303295225286,,0.026227303295225286,
slowloris,0,6821,929,0.16938836872577667,1.0,1.0,0.8081774684645499,0.06465327664565312,1.0,,,1.0
slowloris,1,6821,929,0.23122075796127295,1.0,1.0,0.8181417877586966,0.06054830669989737,1.0,,,1.0
slowloris,2,6821,929,0.16822442412376398,1.0,1.0,0.8124180148666376,0.0628940038117578,1.0,,,1.0
