flow_id,window_id,ts,is_attack,duration_scaled,orig_bytes_scaled,resp_bytes_scaled,orig_pkts_scaled,resp_pkts_scaled,bytes_per_sec_scaled,pkts_per_sec_scaled,byte_ratio_scaled,proto_tcp,proto_udp,service_dns,service_http,service_none,service_ssh,conn_state_REJ,conn_state_RSTO,conn_state_S1,conn_state_SF
window_resampled_25pct::CAA94F3OR2Cx6vCVWe,window_resampled_25pct,1783690514.286332,0,18.753996577528174,16.890924326803887,10.01554567797025,17.336829430117138,12.224077247065392,-0.24916180605428273,-0.23690916332371434,0.5780696071521204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::Ct5eCUutV05IKQTCj,window_resampled_25pct,1783691690.669164,0,6.195868291631249,3.992495507879133,2.0032000608534135,4.091300010375939,2.625686569966862,-0.24933076718310135,-0.2369736494936893,0.5679853771130522,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CIX0lb2iggq5mnpzOi,window_resampled_25pct,1783691884.144119,0,2.0807699956201366,0.6935621580766602,1.0544454102672205,0.736000117576775,1.047171392300791,-0.24949459244734565,-0.237028873763865,-0.16709643582115805,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CbDiY94cxNbpEBdy5,window_resampled_25pct,1783691926.409132,0,0.6134775481686255,0.16091753108161147,0.28369378738505147,0.20898966321041426,0.23245388124733507,-0.2494249325585001,-0.23697653837667063,-0.22142004228716047,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CmXAcK1SkqNbu8UrU4,window_resampled_25pct,1783691954.761772,0,0.6192104673384151,0.2648176580865211,0.2291180888325228,0.15628861777377817,0.23245388124733507,-0.24935432431653828,-0.23699181111265777,-0.12070260959482072,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::Cl1e9j141Wd4MuQcxk,window_resampled_25pct,1783691960.198824,0,1.5163355146058728,0.9683341806980779,4.351760834064448,1.9656911777649502,3.6950033032245235,-0.24930275431289572,-0.2368137414682097,-0.4104026743210343,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CTd9tZ0qPngfEBIy9,window_resampled_25pct,1783691960.200275,0,1.5163201850030605,0.8700671931090971,1.6410545049075373,0.8765362387411378,1.4290702256070986,-0.2493391621011361,-0.23696926112857694,-0.2201957774675704,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CnOCt22tfwrI3SWB8h,window_resampled_25pct,1783691966.451187,0,0.48378214814025083,0.2612708666024178,1.785938220021685,0.7184331024312297,1.5563698367092011,-0.24928831074317878,-0.23679020660495306,-0.4198731065076557,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CMFGpzrOzg6XA5vwf,window_resampled_25pct,1783691966.462115,0,0.48365771788232703,0.35265290601637445,0.24041986836928622,0.20898966321041426,0.23245388124733507,-0.24921434102420933,-0.23694890999074075,-0.060168170354321544,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CoPyj94nUcHY5xmOWa,window_resampled_25pct,1783691980.528549,0,0.1077099481762036,-0.0041125903257851525,-0.1925317612533428,-0.019381533681675417,-0.12398502983855199,-0.2492793127538974,-0.23691250239994524,-0.11017518615109556,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CkEOmh3tzNRtBc2xZj,window_resampled_25pct,1783691995.661299,0,-0.33868934538882195,0.272745780227458,0.5233892357183254,0.3143917540836864,0.4615931812311196,-0.24090390761607972,-0.23294570511323595,-0.22883619690179471,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CIvvsS3JWT1gUPlZb5,window_resampled_25pct,1783691999.30684,0,-0.3629656823046257,-0.27909324774038535,-0.6106338722740966,-0.3355878063014919,-0.53134378536528,-0.24740218984967474,-0.23573238924698373,-0.07896694620891628,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CyxrSc18xhvE5zSmLh,window_resampled_25pct,1783691999.76151,0,0.22757476001679058,-0.09758097767156731,-0.2695410673074169,-0.1599176548460383,-0.2512846409406545,-0.2494870882212185,-0.23702299266688517,-0.17593980852340774,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::C2hsvq3OshXnIgaF7j,window_resampled_25pct,1783691999.761645,0,0.22757521905085804,0.28067390236839485,0.4319977778853249,0.26169070864705035,0.3852134145698581,-0.24905431436381684,-0.23683710313677903,-0.19453641398078295,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CY7urxbkKuFiVGKq3,window_resampled_25pct,1783691999.763112,0,0.22755791453403457,-0.18833711270597633,-0.3501406003195982,-0.195051685137129,-0.327664407601916,-0.24959091976759074,-0.23703848009923284,-0.2593190199194759,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CSNlPN37nWNPSZSQL4,window_resampled_25pct,1783692001.259109,0,-0.38750245166486236,-0.28117959567221085,-0.5955506702607468,-0.3180207911559465,-0.53134378536528,-0.22146845558176195,-0.21769613523547096,-0.14538307351168647,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CyMxLB3Qr6In6qSZNd,window_resampled_25pct,1783692001.289681,0,-0.3878286434082665,-0.36984938277479434,-0.7379063557416712,-0.4058558668836733,-0.684103318687803,-0.24979859986280267,-0.22701304851136833,-0.6040302242810942,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
window_resampled_25pct::CitdIj1hiFZwTJLTUj,window_resampled_25pct,1783692010.533843,0,0.47938230660331044,0.09478030164274329,1.4939401754111337,0.5076289206846853,1.2763106922845755,-0.24942102398651644,-0.2368543377800768,-0.4507164597168738,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
