attack_type,recall__apache_bench_mean,recall__apache_bench_std,recall__portscan_mean,recall__portscan_std,recall__slowloris_mean,recall__slowloris_std
portscan+apache_bench,0.026227303295225286,0.0,0.9982708933717579,0.0077327999221894865,,
portscan+slowloris,,,0.9982708933717579,0.0077327999221894865,1.0,0.0
apache_bench+slowloris,0.026227303295225286,0.0,,,1.0,0.0
