duration_scaled,orig_bytes_scaled,resp_bytes_scaled,orig_pkts_scaled,resp_pkts_scaled,bytes_per_sec_scaled,pkts_per_sec_scaled,byte_ratio_scaled,conn_count_60s_scaled,unique_dst_ports_60s_scaled,unique_dst_ips_60s_scaled,failed_conn_ratio_60s_scaled,proto_tcp,proto_udp,service_dns,service_http,service_none,service_ssh,conn_state_REJ,conn_state_RSTO,conn_state_S1,conn_state_SF,is_attack,actual_attack_pct,window_id,ts
-0.3897118466829814,-0.36317306939295285,-0.7368866463097827,-0.4585569123203094,-0.7095632409082235,3.997292546657252,4.069314137404129,4.119297628905474,-2.7738646740862185,-0.7306074243577496,0.0,-0.200546274577401,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713590.342963
-0.33824138151500105,0.1836587235385094,0.5024427044716172,0.20898966321041426,0.41067333679027856,-0.24220371500552457,-0.23353973782864867,-0.2753941136471484,-2.7406643159397905,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713591.16895
0.4344114649251561,0.36183283691640666,0.04933056962269407,0.12115458748268745,0.10515427014523254,-0.24917156110347635,-0.23696515953743486,0.08042963279694844,-3.5374729114540595,-2.6801783019663556,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713518.790733
-0.33824675114606967,0.19492500237036708,-0.08484619645662511,-0.0018145185361300583,-0.07306518539771098,-0.24204831779321126,-0.23465414451987857,0.03283909988273895,-2.674263599646935,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713591.169479
-0.33825026329044655,0.08726944908817152,-0.16444726398341564,-0.036948548827220776,-0.14944495205897249,-0.24352522457730186,-0.23483978346242787,-0.017009763327379763,-2.641063241500507,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713591.169811
-0.3382528360162667,-0.09507736015337674,1.4223055878209714,0.4549278752480493,1.1744710034028936,-0.24602751437317394,-0.23223819557334455,-0.510357201810889,-2.607862883354079,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713591.170061
-0.3382441570698278,-0.09445145577382909,-0.273726124767459,-0.14235063970049294,-0.225824718720234,-0.24601956155049787,-0.23539742325203705,-0.16711537263799553,-2.7074639577933626,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713591.169252
-0.38894821682367614,-0.36984938277479446,-0.7379063557416712,-0.4058558668836733,-0.684103318687803,-0.24979859986280267,-0.21215446377092254,-0.6040302242810942,-2.4086607344755118,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713601.839852
-0.388744266919967,-0.10050186477612302,-0.5306291697638502,-0.26531974571931044,-0.45496401870401854,-0.05342059763658417,-0.17793423857411503,0.3528545006392568,-2.5414621670612236,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713601.820767
-0.38894598570460387,-0.27971915211993303,-0.5573540544579261,-0.3004537760104012,-0.5058838631448596,-0.16680280371946613,-0.17482441471020102,-0.23644418017722194,-2.4418610926219397,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713601.839668
-0.3889337625881555,-0.18958892146507167,-0.4767545214457448,-0.2477527305737651,-0.42950409648359805,-0.08641089535911985,-0.15739427019667626,-0.0957365241211927,-2.4750614507683677,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713601.838531
-0.3889314994434506,-0.19167526939689716,1.1531235417489236,0.3143917540836864,0.9453317034191091,-0.08876966010396203,0.03815841349265138,-0.5346422851239325,-2.5082618089147957,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713601.838328
-0.38748332168697974,-0.09758097767156733,-0.19620696399744067,-0.14235063970049294,-0.174904874279393,-0.1635547567078902,-0.19641953479342883,-0.23389149931538947,-2.3090596600362283,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713601.956044
-0.38743648953688437,-0.007868016603071045,-0.37926605096791144,-0.17748466999158366,-0.327664407601916,-0.13749609197320953,-0.20145820392689048,0.1392354080092571,-2.3754603763290842,-0.7306074243577496,0.0,-0.200546274577401,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13.461226,window_07_17pct,1783713601.951662
