,duration_scaled,orig_bytes_scaled,resp_bytes_scaled,orig_pkts_scaled,resp_pkts_scaled,bytes_per_sec_scaled,pkts_per_sec_scaled,byte_ratio_scaled,proto_tcp,proto_udp,service_dns,service_http,service_none,service_ssh,conn_state_REJ,conn_state_RSTO,conn_state_S1,conn_state_SF
duration_scaled,1.0,0.8575225396524686,0.5526676223106156,0.8410309592196684,0.6605695932302127,-0.08338951896894947,-0.07824545446087168,-0.002182066958208811,0.05946893946141205,-0.059389862480871115,-0.059389862480871115,0.11227765325845823,-0.090021477247306,-0.022662697959589653,,,,0.0034664352739082593
orig_bytes_scaled,0.8575225396524686,1.0,0.6790652461363691,0.9737747726148291,0.7960136395109777,-0.07438934786847609,-0.07588663864157613,0.042267387210243194,0.06584628370259069,-0.0656212626913581,-0.0656212626913581,0.17695569262834726,-0.166747186707773,0.03107113450941909,,,,0.005311215427905157
resp_bytes_scaled,0.5526676223106156,0.6790652461363691,1.0,0.7940022994495618,0.9833461079005023,-0.13176309307219256,-0.103845276237856,-0.16660923512305595,0.12686335410227872,-0.12631947835806492,-0.12631947835806492,0.35298892270805415,-0.31576946502072334,-0.04287624986394221,,,,0.011415258559808732
orig_pkts_scaled,0.8410309592196684,0.9737747726148291,0.7940022994495618,1.0,0.8880639078160425,-0.08398446240103327,-0.0739211962319985,-0.02895941787210376,0.07875759267094876,-0.07849271894740462,-0.07849271894740462,0.19208989770063573,-0.17221489316691257,0.0034447488790076263,,,,0.00630689560825907
resp_pkts_scaled,0.6605695932302127,0.7960136395109777,0.9833461079005023,0.8880639078160425,1.0,-0.129574246684516,-0.10598768189597219,-0.12682561665619232,0.12473670022840545,-0.12430740963153084,-0.12430740963153084,0.329069370441846,-0.296524732042665,-0.011489413150971102,,,,0.010093719687377377
bytes_per_sec_scaled,-0.08338951896894947,-0.07438934786847609,-0.13176309307219256,-0.08398446240103327,-0.129574246684516,1.0,0.9833097402136227,0.7699626482107503,-0.9277607776587119,0.9319057732136026,0.9319057732136026,-0.303029857733401,-0.09791188889889886,-0.00548634597134564,,,,0.0035579492682758134
pkts_per_sec_scaled,-0.07824545446087168,-0.07588663864157613,-0.103845276237856,-0.0739211962319985,-0.10598768189597219,0.9833097402136227,1.0,0.7482041693309677,-0.9396327529820306,0.9438056989899605,0.9438056989899605,-0.32555730949890693,-0.0778755333655889,-0.011823032667669384,,,,0.003334611966279888
byte_ratio_scaled,-0.002182066958208811,0.042267387210243194,-0.16660923512305595,-0.02895941787210376,-0.12682561665619232,0.7699626482107503,0.7482041693309677,1.0,-0.7925951440046212,0.7850857018623565,0.7850857018623565,-0.16540995163862712,-0.2614370169670664,0.44834677828433483,,,,-0.11537668373275914
proto_tcp,0.05946893946141205,0.06584628370259069,0.12686335410227872,0.07875759267094876,0.12473670022840545,-0.9277607776587119,-0.9396327529820306,-0.7925951440046212,1.0,-0.9956719646334126,-0.9956719646334126,0.35883574843088534,0.06583676966896146,0.010795325145034245,,,,0.09041941057472795
proto_udp,-0.059389862480871115,-0.0656212626913581,-0.12631947835806492,-0.07849271894740462,-0.12430740963153084,0.9319057732136026,0.9438056989899605,0.7850857018623565,-0.9956719646334126,1.0,1.0,-0.3572826946208806,-0.06950234812004738,-0.010748602596012716,,,,0.0025285203181459226
service_dns,-0.059389862480871115,-0.0656212626913581,-0.12631947835806492,-0.07849271894740462,-0.12430740963153084,0.9319057732136026,0.9438056989899605,0.7850857018623565,-0.9956719646334126,1.0,1.0,-0.3572826946208806,-0.06950234812004738,-0.010748602596012716,,,,0.0025285203181459226
service_http,0.11227765325845823,0.17695569262834726,0.35298892270805415,0.19208989770063573,0.329069370441846,-0.303029857733401,-0.32555730949890693,-0.16540995163862712,0.35883574843088534,-0.3572826946208806,-0.3572826946208806,1.0,-0.8918470982653623,-0.13792498088127858,,,,0.03244571686626206
service_none,-0.090021477247306,-0.166747186707773,-0.31576946502072334,-0.17221489316691257,-0.296524732042665,-0.09791188889889886,-0.0778755333655889,-0.2614370169670664,0.06583676966896146,-0.06950234812004738,-0.06950234812004738,-0.8918470982653623,1.0,-0.02683060271316386,,,,-0.03638035816831022
service_ssh,-0.022662697959589653,0.03107113450941909,-0.04287624986394221,0.0034447488790076263,-0.011489413150971102,-0.00548634597134564,-0.011823032667669384,0.44834677828433483,0.010795325145034245,-0.010748602596012716,-0.010748602596012716,-0.13792498088127858,-0.02683060271316386,1.0,,,,0.0009761069365765926
conn_state_REJ,,,,,,,,,,,,,,,,,,
conn_state_RSTO,,,,,,,,,,,,,,,,,,
conn_state_S1,,,,,,,,,,,,,,,,,,
conn_state_SF,0.0034664352739082593,0.005311215427905157,0.011415258559808732,0.00630689560825907,0.010093719687377377,0.0035579492682758134,0.003334611966279888,-0.11537668373275914,0.09041941057472795,0.0025285203181459226,0.0025285203181459226,0.03244571686626206,-0.03638035816831022,0.0009761069365765926,,,,1.0
