arm,seed,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,fpr_w10,fpr_0208
v2_4pct,0,0.39269541501998917,0.6723491421618008,0.8325000816913375,0.631578947368421,0.0462046204620462,0.6534653465346535,0.050314465408805034,0.03663003663003663
v2_4pct,1,0.17321548834443093,0.6176084390759488,0.7746299382413488,0.7010309278350515,0.027502750275027504,0.6732673267326733,0.0220125786163522,0.040293040293040296
v2_4pct,2,0.2337031349539757,0.6792206607597837,0.8383273970961453,0.7096774193548387,0.020902090209020903,0.6534653465346535,0.020440251572327043,0.02197802197802198
v2_4pct,3,0.13244563117623334,0.6538426706594539,0.8053567733010925,0.6732673267326733,0.036303630363036306,0.6732673267326733,0.02358490566037736,0.06593406593406594
v2_4pct,4,0.3959953114390375,0.6571472233523354,0.829842390179612,0.5990783410138248,0.056105610561056105,0.6435643564356436,0.04874213836477988,0.07326007326007326
v2_4pct,5,0.16376783326268204,0.673728409703568,0.780489930181137,0.6974358974358974,0.028602860286028604,0.6732673267326733,0.025157232704402517,0.03663003663003663
v2_4pct,6,0.3999131977558138,0.650657476748649,0.8279907198640657,0.5963302752293578,0.05720572057205721,0.6435643564356436,0.04874213836477988,0.07692307692307693
v2_4pct,7,0.19127199575304987,0.6409172818069946,0.7539565837771897,0.6514285714285715,0.0187018701870187,0.5643564356435643,0.015723270440251572,0.02564102564102564
v2_4pct,8,0.1262113615870476,0.6280333975084714,0.8096047228485226,0.6666666666666666,0.03850385038503851,0.6732673267326733,0.026729559748427674,0.06593406593406594
v2_4pct,9,0.13440728783607483,0.6633731752481231,0.7517127950418805,0.7272727272727273,0.019801980198019802,0.6732673267326733,0.01729559748427673,0.02564102564102564
v2_4pct,10,0.4121505707502367,0.6573881192286894,0.827555032730996,0.5990783410138248,0.056105610561056105,0.6435643564356436,0.050314465408805034,0.0695970695970696
v2_4pct,11,0.18153609707951554,0.6294069488133385,0.7542397804136851,0.6974358974358974,0.028602860286028604,0.6732673267326733,0.014150943396226415,0.06227106227106227
v2_4pct,12,0.206399554759264,0.5475255751735703,0.7373895805422126,0.5421686746987951,0.022002200220022004,0.44554455445544555,0.020440251572327043,0.02564102564102564
v2_4pct,13,0.17630211412906657,0.676325081846492,0.8986264963129975,0.6473988439306358,0.0176017601760176,0.5544554455445545,0.015723270440251572,0.02197802197802198
v2_4pct,14,0.15275374799966815,0.7000329296391768,0.8315197856419305,0.7096774193548387,0.020902090209020903,0.6534653465346535,0.020440251572327043,0.02197802197802198
v2_4pct,15,0.38663036376237875,0.57307354204471,0.8281541025389668,0.5507246376811594,0.0539053905390539,0.5643564356435643,0.04874213836477988,0.06593406593406594
v2_4pct,16,0.16686254441738138,0.6956301498011856,0.8564628740101733,0.7096774193548387,0.020902090209020903,0.6534653465346535,0.0220125786163522,0.018315018315018316
v2_4pct,17,0.37826958298683183,0.6601319804993349,0.832053502379941,0.6103286384976526,0.0517051705170517,0.6435643564356436,0.050314465408805034,0.054945054945054944
v2_4pct,18,0.18145401701331138,0.678916677451368,0.7955429206286966,0.6938775510204082,0.0297029702970297,0.6732673267326733,0.025157232704402517,0.040293040293040296
v2_4pct,19,0.4145085647702219,0.7017608381718523,0.8301146946377806,0.6,0.058305830583058306,0.6534653465346535,0.050314465408805034,0.07692307692307693
