contamination_pct,target_pct,seed,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,fpr_w10,fpr_0208
0.0,0,0,0.16844355091452626,0.7110396230383345,0.8069252469801436,0.7311827956989247,0.0187018701870187,0.6732673267326733,0.015723270440251572,0.02564102564102564
0.0,0,1,0.1847853325307371,0.71103149405422,0.8080362491694714,0.7351351351351352,0.0176017601760176,0.6732673267326733,0.015723270440251572,0.02197802197802198
0.0,0,2,0.11703481152653704,0.7771434662267507,0.9389166639436222,0.6974358974358974,0.028602860286028604,0.6732673267326733,0.014150943396226415,0.06227106227106227
0.0,0,3,0.07884789593517781,0.7705603194173272,0.9310960799050201,0.7083333333333334,0.025302530253025302,0.6732673267326733,0.020440251572327043,0.03663003663003663
0.0,0,4,0.16523727476596853,0.7387242497718944,0.8897384787983749,0.7058823529411765,0.022002200220022004,0.6534653465346535,0.0220125786163522,0.02197802197802198
0.0,0,5,0.10994762256741561,0.8086501532221707,0.958751320676622,0.7195767195767195,0.022002200220022004,0.6732673267326733,0.015723270440251572,0.03663003663003663
0.0,0,6,0.08650297783315194,0.7354474280360213,0.8798048121643848,0.6699507389162561,0.0374037403740374,0.6732673267326733,0.03773584905660377,0.03663003663003663
0.0,0,7,0.15222201794385914,0.7483600869962802,0.9091810171116121,0.7213114754098361,0.0176017601760176,0.6534653465346535,0.015723270440251572,0.02197802197802198
0.0,0,8,0.1785798847675325,0.7109724110620174,0.8065984816303413,0.7351351351351352,0.0176017601760176,0.6732673267326733,0.015723270440251572,0.02197802197802198
0.0,0,9,0.1873599320650103,0.709483621107942,0.8026664052543868,0.7213114754098361,0.0176017601760176,0.6534653465346535,0.015723270440251572,0.02197802197802198
0.0,0,10,0.08558677732944489,0.7413596255622069,0.8931477306146457,0.6538461538461539,0.0429042904290429,0.6732673267326733,0.03773584905660377,0.054945054945054944
0.0,0,11,0.12391308881342412,0.762777680328174,0.9243320371641124,0.7096774193548387,0.020902090209020903,0.6534653465346535,0.01729559748427673,0.029304029304029304
0.0,0,12,0.09100118353962906,0.7485446474169763,0.9057173044037077,0.6938775510204082,0.0297029702970297,0.6732673267326733,0.018867924528301886,0.054945054945054944
0.0,0,13,0.12190943621098996,0.7414168567325738,0.8929952401180712,0.7083333333333334,0.025302530253025302,0.6732673267326733,0.018867924528301886,0.040293040293040296
0.0,0,14,0.09919674731791053,0.7687084742940655,0.9293533313727412,0.7010309278350515,0.027502750275027504,0.6732673267326733,0.01729559748427673,0.05128205128205128
0.0,0,15,0.07934051528573036,0.8002771180741819,0.9536319968630527,0.7083333333333334,0.025302530253025302,0.6732673267326733,0.026729559748427674,0.02197802197802198
