arm,contamination_pct,pr_auc_mean,pr_auc_ci95_lo,pr_auc_ci95_hi,f1_mean,f1_ci95_lo,f1_ci95_hi,benign_fpr_mean,benign_fpr_ci95_lo,benign_fpr_ci95_hi,attack_recall_mean,attack_recall_ci95_lo,attack_recall_ci95_hi
v2,0.0,0.751618794623495,0.7395495855274253,0.7637453414092652,0.7041221088829853,0.6942627273590148,0.7131448420152201,0.02557755775577557,0.02255225522552255,0.02898789878987898,0.6673267326732675,0.6633663366336635,0.6712871287128714
v2,1.0,0.7250229224684338,0.7139105433705184,0.735593313203735,0.721238494119669,0.7158979914482634,0.7262678682956029,0.0198019801980198,0.01859185918591859,0.021342134213421342,0.6643564356435645,0.6603960396039605,0.6683168316831685
v2,2.0,0.7022272225530052,0.6896797374866821,0.7148869237422928,0.7121533978850281,0.703136938828197,0.7200753681362291,0.020957095709570956,0.018756875687568755,0.023707370737073703,0.6569306930693071,0.6455445544554457,0.665841584158416
v2,4.0,0.6528534859847424,0.635170326750808,0.6687158770411407,0.650706726166304,0.6265931075363259,0.6743408753118006,0.03547854785478548,0.029096534653465345,0.04218921892189219,0.6341584158415843,0.6069183168316831,0.6564356435643564
v2,8.0,0.6354693227490851,0.6135571808670995,0.6539958952908682,0.6277804221320291,0.5970886648597846,0.6547830731352527,0.040869086908690865,0.03547854785478547,0.04631463146314631,0.623762376237624,0.5945544554455446,0.6465346534653467
v2,12.0,0.6561094040506918,0.6244927116136999,0.6798418015002465,0.6039081874828292,0.5718380768080652,0.6288850316999598,0.046754675467546754,0.0422992299229923,0.05099009900990098,0.6163366336633664,0.5767326732673268,0.6450618811881188
v2,14.38,0.6009738204909139,0.5589932752596443,0.6409479272899373,0.5550185005588926,0.5128819234843826,0.5957641066607124,0.047579757975797575,0.04361936193619362,0.05104510451045104,0.553960396039604,0.5024628712871287,0.6024876237623763
v2,19.27,0.6616151555267927,0.6257909978957775,0.6898402860312733,0.594535052507669,0.5631847249322274,0.6176278580133677,0.05154015401540154,0.04988998899889989,0.053300330033003294,0.6227722772277229,0.5821782178217823,0.6529702970297031
v2,21.26,0.6433359600210411,0.604549950334388,0.6784779260618478,0.5742531048089673,0.5412174534801926,0.6022486752556572,0.0517051705170517,0.0488998899889989,0.05434543454345434,0.5945544554455446,0.55,0.6326732673267329
v1_det,0.0,0.7273671415255143,0.7200151876841541,0.7350593626877374,0.6370926879869044,0.6317207680668268,0.642254378586573,0.04220183486238528,0.04036697247706418,0.04411314984709476,0.6438356164383561,0.6438356164383561,0.6438356164383561
v1_det,1.0,0.7099964126845251,0.699855779189593,0.7204750713999587,0.6392308596733793,0.6323121966422789,0.6453053345074846,0.040596330275229305,0.03891437308868495,0.04250764525993878,0.6404109589041095,0.6335616438356163,0.6438356164383561
v1_det,2.0,0.7061643771893455,0.6979459238599265,0.7143622770045488,0.6442711818813088,0.6392005320312122,0.6496204577194884,0.03967889908256876,0.03784403669724766,0.04143730886850148,0.6438356164383561,0.6438356164383561,0.6438356164383561
v1_det,4.0,0.683065387684674,0.6707132854183172,0.6935517026856998,0.6459604767572621,0.6394954540918456,0.652397888578869,0.038149847094801174,0.035856269113149805,0.04036697247706418,0.6397260273972603,0.6335616438356163,0.6438356164383561
v1_det,8.0,0.6493576888594979,0.6215668716652651,0.6720373509055848,0.6103054317838079,0.5823064905037111,0.631916830025674,0.042889908256880674,0.040672782874617695,0.045107033639143666,0.6102739726027397,0.5746575342465753,0.6369863013698629
v1_det,12.0,0.6450156689006438,0.6064337763281996,0.6773286221148375,0.5891916239075268,0.5483431441473995,0.6224109639834364,0.04411314984709473,0.04220183486238525,0.04610091743119259,0.5890410958904109,0.5376712328767124,0.6315068493150684
v1_det,14.33,0.6491865812662294,0.60633924735781,0.682773514221648,0.5997047755999272,0.5534373407764254,0.6360584618173634,0.04235474006116203,0.04021406727828742,0.044571865443425014,0.5965753424657534,0.5424657534246575,0.6410958904109588
v1_det,19.3,0.6681001082564915,0.6326960961914443,0.6958336767751419,0.6139342072481873,0.5767758498040163,0.6414717027377227,0.040519877675840935,0.03876146788990821,0.04250764525993879,0.6089041095890411,0.5616438356164384,0.641780821917808
v1_det,21.29,0.6700031170189001,0.6350878018595826,0.6996745371805716,0.6084947457383586,0.5715127815636099,0.6372532709259656,0.041819571865443377,0.0396024464831804,0.04418960244648313,0.6054794520547945,0.5602739726027397,0.6424657534246574
