attack_type,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std,n_benign_dedup,n_attack_dedup
apache_bench,6821,1487,0.2243750201517417,0.0348690404290945,0.6669548267953302,0.0889685783479289,0.0409828835214368,0.0010545535261764,0.0577261398621902,0.0057730380504386,0.0262273032952252,0.0,5428,968
portscan,6821,694,0.992137375968674,0.0023485056914112,0.998782018321956,0.0004877574577716,0.7689253470338456,0.0195021495660951,0.0577261398621902,0.0057730380504386,0.998270893371758,0.0077327999221894,5428,539
slowloris,6821,929,1.0,7.204078273071459e-17,1.0,5.695323946259567e-17,0.7986171161677615,0.0168866559800026,0.0577261398621902,0.0057730380504386,1.0,0.0,5428,640
