seed,segment_id,segment_label,n,fpr,recall,f1
17,5,portscan,694,,0.9654178674351584,0.9824046920821115
17,6,benign,1706,0.08206330597889801,,
18,0,benign,1705,0.01818181818181818,,
18,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
18,2,benign,1705,0.025806451612903226,,
18,3,slowloris,929,,1.0,1.0
18,4,benign,1705,0.1284457478005865,,
18,5,portscan,694,,1.0,1.0
18,6,benign,1706,0.0615474794841735,,
19,0,benign,1705,0.04281524926686217,,
19,1,apache_bench,1487,,0.026227303295225286,0.05111402359108781
19,2,benign,1705,0.04633431085043988,,
19,3,slowloris,929,,1.0,1.0
19,4,benign,1705,0.07565982404692081,,
19,5,portscan,694,,1.0,1.0
19,6,benign,1706,0.07209847596717468,,
