duration_scaled,orig_bytes_scaled,resp_bytes_scaled,orig_pkts_scaled,resp_pkts_scaled,bytes_per_sec_scaled,pkts_per_sec_scaled,byte_ratio_scaled,proto_tcp,proto_udp,service_dns,service_http,service_none,service_ssh,conn_state_REJ,conn_state_RSTO,conn_state_S1,conn_state_SF,is_attack,actual_attack_pct,window_id,ts,row_index,concurrency_src_1s_scaled
-0.3755709713022582,-0.193135712949175,-0.4627547607037766,-0.2477527305737651,-0.4040441742631775,-0.2409734025398488,-0.232767349575375,-0.1310889271616959,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.02358,0,0.6614262546069878
-0.3755575952630356,-0.0149615995712777,0.0368603730285584,0.0157524966094153,0.028774503483971,-0.2320920172753202,-0.2277050711316331,-0.2667034327590226,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.022332,1,0.6614262546069878
-0.3755683452003837,-0.193135712949175,-0.4516654206319899,-0.2477527305737651,-0.4040441742631775,-0.2409750410342605,-0.2327681655664146,-0.149409918411887,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.023414,2,0.6614262546069878
-0.3755547022808894,0.0849744663631634,1.548664581589146,0.5427629509757761,1.2763106922845755,-0.2271104971230259,-0.2175762109646873,-0.4575438695645205,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.022143,3,0.6614262546069878
-0.3755724017805151,-0.193135712949175,-0.4300815709903515,-0.2301857154282197,-0.378584252042757,-0.2409725097705924,-0.2324287891933277,-0.18128447715615,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691996.023807,4,0.6614262546069878
-0.3739003221512152,0.2477096050455521,-0.1267817468430367,-0.00181451853613,-0.0985251076181314,-0.2222157664483285,-0.2289986277358696,0.1401467603743604,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.867179,5,0.6614262546069878
-0.3881167780249121,-0.2818055000517585,-0.5955506702607468,-0.3355878063014919,-0.53134378536528,-0.2108418877572111,-0.2131994581397353,-0.1486205828112352,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.276401,6,0.5169731610585698
-0.3880994201320342,-0.2818055000517585,-0.6191102069266692,-0.3355878063014919,-0.5568037075857005,-0.2112609711316765,-0.2134572436196498,-0.0583203338589603,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.274782,7,0.5169731610585698
-0.3879150485650643,-0.1067609085715995,-0.5306291697638502,-0.2653197457193104,-0.4549640187040185,-0.1464513451514826,-0.2052510298597162,0.3306186046302633,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.257523,8,0.5169731610585698
-0.3881180056741624,-0.2818055000517585,-0.5573540544579261,-0.3180207911559465,-0.5058838631448596,-0.2108119024024945,-0.2101833390797645,-0.24495311638333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.276541,9,0.5169731610585698
-0.3880955984065421,-0.1958479652605481,1.1531235417489236,0.3670927995203225,0.9453317034191092,-0.1738165228979127,-0.0952674954405585,-0.5362672954086435,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691998.274456,10,0.5169731610585698
-0.338700927992618,0.2840120590593157,0.0442532664097495,0.1035875723371421,0.0542344257043915,-0.240745906708419,-0.2340694576336359,0.0116017906962684,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.662377,11,0.6614262546069878
-0.3386893453888219,0.272745780227458,0.5233892357183254,0.3143917540836864,0.4615931812311196,-0.2409039076160797,-0.2329457051132359,-0.2288361969017947,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.661299,12,0.6614262546069878
-0.3387036501713903,-0.1866680343605159,-0.4501358564841572,-0.2477527305737651,-0.4040441742631775,-0.247262323934549,-0.2359439091933951,-0.1352755855700499,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.662652,13,0.6614262546069878
-0.3386878508592998,-0.0034866859462375,-0.1131856210845243,-0.0369485488272207,-0.0985251076181314,-0.2447276186611373,-0.234819864787546,-0.1721600467363093,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.661183,14,0.6614262546069878
-0.3387015685052703,0.2840120590593157,0.1295901994909125,0.1211545874826874,0.130614192365653,-0.2407457930403796,-0.2339756917916918,-0.0489573679912637,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.662477,15,0.6614262546069878
-0.338615291451003,0.6366048595378244,0.6813379779285436,0.4022268298114132,0.6143527145536426,-0.2358876224461585,-0.2324839724739114,-0.0817867501533568,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691995.654404,16,0.6614262546069878
0.0167131269773085,-0.2738773779108217,-0.5815509095187786,-0.3004537760104012,-0.5058838631448596,-0.2496318261243726,-0.2370447712690395,-0.1520543980905917,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691962.420698,17,-1.6400487474075525
0.0167157744296048,0.013412732301549,-0.1235314230288924,-0.0369485488272207,-0.1239850298385519,-0.2491325969022298,-0.2368683150944841,-0.1446312256632187,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691962.420485,18,-1.6400487474075525
0.2120733503608555,0.3007028425139196,0.1985055619293722,0.1738556329193235,0.2069939590269145,-0.2490116356638189,-0.2368684479166332,-0.0766807954819366,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691944.120375,19,-1.6400487474075525
0.2120804173504527,0.3975093865506226,1.376418663385992,0.6130310115579575,1.1744710034028936,-0.2488980334864306,-0.2366698306746378,-0.336751121513444,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691944.119727,20,-1.6400487474075525
-0.0540209803885857,-0.3698493827747944,-0.7379063557416712,-0.4058558668836733,-0.684103318687803,-0.2497985998628026,-0.237105439379481,-0.6040302242810942,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691969.046783,21,-3.4639245346776493
0.2123675591724871,0.599259231558148,1.9166309788753852,0.8414022084500472,1.607289681150042,-0.2486618038279207,-0.2365668320898803,-0.335172327295223,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783691944.092858,22,-1.6400487474075525
-0.3874780161071763,0.0691182220812897,1.4421474338498006,0.49006190553914,1.1999309256233142,-0.1110811433533588,-0.1195024884685209,-0.4557430168771143,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783692001.25681,23,1.139025469351431
-0.3875024516648623,-0.2811795956722109,-0.5955506702607468,-0.3180207911559465,-0.53134378536528,-0.2214684555817619,-0.2176961352354709,-0.1453830735116864,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783692001.259109,24,1.139025469351431
-0.3878286434082665,-0.3698493827747944,-0.7379063557416712,-0.4058558668836733,-0.684103318687803,-0.2497985998628026,-0.2270130485113682,-0.6040302242810942,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783692001.289681,25,1.139025469351431
-0.3875009144344967,-0.1044659258465914,-0.2946726560141671,-0.1599176548460383,-0.276744563161075,-0.1650670685413416,-0.1982569161478609,-0.1631070598409247,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,window_01_0pct,1783692001.258984,26,1.139025469351431
