contamination_pct,seed,threshold_95,threshold_99,pr_auc,roc_auc,f1,f2,benign_fpr,attack_recall
22,0,1.371341657638549,4.842588500976564,0.7118798640252185,0.834673872062335,0.6438356164383562,0.6438356164383562,0.0397553516819571,0.6438356164383562
22,1,0.6463257551193237,1.9164360523223896,0.6647080675538148,0.8332704955804113,0.6433566433566433,0.6353591160220995,0.036697247706422,0.6301369863013698
22,2,0.9287421464920036,2.659988880157474,0.6510408674417056,0.8397008922960915,0.6293706293706294,0.6215469613259669,0.0382262996941896,0.6164383561643836
22,3,2.015082430839536,4.084555110931407,0.6895976627028308,0.7543043860751539,0.6103896103896104,0.6300268096514745,0.0519877675840978,0.6438356164383562
22,4,1.2871454715728758,4.008509483337403,0.7092412818923357,0.8338360353567089,0.6394557823129252,0.6420765027322405,0.0412844036697247,0.6438356164383562
25,0,1.383314251899718,4.788557052612307,0.7164633553708797,0.8310292823928616,0.6482758620689655,0.6456043956043956,0.0382262996941896,0.6438356164383562
25,1,0.9365974426269524,3.0485544490814225,0.603329984165868,0.8000921620376189,0.6099290780141844,0.5972222222222222,0.0382262996941896,0.589041095890411
25,2,1.060072088241577,4.257664546966553,0.7035009754883795,0.8320137405219723,0.6225165562913907,0.6351351351351351,0.0474006116207951,0.6438356164383562
25,3,1.1762261867523192,4.249185791015626,0.7190449027170565,0.8391772443550752,0.6438356164383562,0.6438356164383562,0.0397553516819571,0.6438356164383562
25,4,1.294633674621582,4.1153789710998545,0.7196402900716125,0.8414603493779063,0.6527777777777778,0.6473829201101928,0.036697247706422,0.6438356164383562
28,0,1.3856042623519895,4.809648780822756,0.7076437041745919,0.8252482091240417,0.6482758620689655,0.6456043956043956,0.0382262996941896,0.6438356164383562
28,1,0.8771853327751159,3.006678438186646,0.7100522438072469,0.8543420887269071,0.6482758620689655,0.6456043956043956,0.0382262996941896,0.6438356164383562
28,2,1.0133394002914426,4.025631761550906,0.7119590320248662,0.8550542499266893,0.6308724832214765,0.6385869565217391,0.0443425076452599,0.6438356164383562
28,3,1.158441185951232,4.448006610870362,0.7256148635406409,0.8592434334548197,0.6308724832214765,0.6385869565217391,0.0443425076452599,0.6438356164383562
28,4,1.291017174720764,4.161801147460938,0.7149225895916568,0.8212684847723178,0.6438356164383562,0.6438356164383562,0.0397553516819571,0.6438356164383562
30,0,1.3560664892196652,4.759618873596194,0.7138312586294708,0.8364333291441498,0.6394557823129252,0.6420765027322405,0.0412844036697247,0.6438356164383562
30,1,0.9315801620483392,2.482793397903443,0.6736970090613822,0.8130157932219011,0.6308724832214765,0.6385869565217391,0.0443425076452599,0.6438356164383562
30,2,1.269204711914061,5.060363178253176,0.7077861179666006,0.8329353608981609,0.6351351351351351,0.6403269754768393,0.0428134556574923,0.6438356164383562
30,3,1.1202530860900877,4.485827312469483,0.7273722132003646,0.8623853211009174,0.6527777777777778,0.6473829201101928,0.036697247706422,0.6438356164383562
30,4,1.3125135660171503,4.068611946105958,0.7119812274518806,0.819634703196347,0.6482758620689655,0.6456043956043956,0.0382262996941896,0.6438356164383562
