variant,n_seeds,val_auc_mean,val_auc_std,val_auc_median,active_dims_mean,active_dims_std
beta=1.0 (baseline),5,0.7509332716222532,0.045280778626963884,0.7318377441276396,1.4,1.140175425099138
beta=0.5,5,0.7803453445288352,0.03344005182547516,0.7919123996804289,4.2,3.768288736283355
beta=0.25,5,0.8180736105382994,0.019359033493482527,0.81380144923236,3.4,3.209361307176242
KL-annealing (sigmoid -> 1.0),5,0.7305389876772341,0.02625149332263603,0.7250719536708037,9.8,0.4472135954999579
