attack_type,n_benign,n_attack,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
apache_bench,5428,968,0.6600727898499972,0.08894890471680712,0.22437502015174174,0.03486904042909459,0.0409828835214368,0.0010545535261764268,0.059589167280766395,0.006232504019051014,0.027892561983471075,0.0
portscan,5428,539,0.9989280142954214,0.00046172731957168177,0.9921373759686741,0.0023485056914112797,0.7689253470338456,0.01950214956609514,0.059589167280766395,0.006232504019051014,0.9985157699443414,0.006637678597401962
slowloris,5428,640,1.0,6.73879817133387e-17,1.0,7.204078273071459e-17,0.7986171161677615,0.01688665598000264,0.059589167280766395,0.006232504019051014,1.0,0.0
