flow_id,window_id,ts,is_attack,duration_scaled,orig_bytes_scaled,resp_bytes_scaled,orig_pkts_scaled,resp_pkts_scaled,bytes_per_sec_scaled,pkts_per_sec_scaled,byte_ratio_scaled,proto_tcp,proto_udp,service_dns,service_http,service_none,service_ssh,conn_state_REJ,conn_state_RSTO,conn_state_S1,conn_state_SF
window_10_0pct::CxwEAqwrQrlEpVNCh,window_10_0pct,1784126132.36432,0,0.6376624946041543,0.7434258736472896,0.6046473310719346,0.5954639964124121,0.5634328701128016,-0.2490332887112295,-0.2368785314715521,0.006639908577922654,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::CXNdrp4r34zTgjPDug,window_10_0pct,1784125471.16041,0,-0.38600998245848356,-0.19584796526054812,1.1531235417489236,0.29682473893814104,0.9453317034191091,-0.21661169574535838,-0.18035122478590002,-0.5362672954086435,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::CFM4e92whLU8IrUtHi,window_10_0pct,1784124318.79676,0,0.43053289393509436,0.17865148850212817,-0.11711575118659437,-0.054515563972766135,-0.07306518539771098,-0.24932632160889504,-0.23702251599600757,0.046638574027758006,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::CfvUN03e2onpRFrV83,window_10_0pct,1784124632.059477,0,0.04546173673581921,-0.28034505649948066,1.1454757210097604,0.3495257843747771,0.9198717811986885,-0.2496533401888719,-0.23664603391863673,-0.5690322141344901,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::CB3zv04GTQES0q4MVb,window_10_0pct,1784124161.390481,0,0.366223032395059,0.49661091331233354,0.27081995580746004,0.13872160262823283,0.25791380346775555,-0.24898907850004,-0.23694104196062513,0.02854012055868538,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::Cjw6G8goOXXDvX63c,window_10_0pct,1784124776.304654,0,-0.3805999457167278,-0.004321225118967703,0.33542279710689155,0.03331951175496066,0.25791380346775555,-0.2214700982816303,-0.2219475492174856,-0.3532334346099163,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::Cp31nz2eUQtUvlot1l,window_10_0pct,1784125713.906666,0,-0.36886639443890107,-0.2818055000517585,-0.5573540544579261,-0.3355878063014919,-0.5058838631448596,-0.24681576366625615,-0.23532761551994216,-0.24495311638333006,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::CN12Wf2EMCjYDD2iY9,window_10_0pct,1784125007.43567,0,-0.3891537253081726,-0.010371634121261637,-0.35007686848010516,-0.14235063970049294,-0.3022044853814955,0.204190035416197,-0.07472210805143646,0.0785442688259715,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::C22LNU3Vmx3a6vFjuf,window_10_0pct,1784125587.472042,0,-0.3897119107342466,-0.3631730693929528,-0.7368866463097827,-0.4585569123203094,-0.7095632409082235,4.257318535219705,4.332975966836784,4.119297628905474,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::CO972T1FU15iNaugui,window_10_0pct,1784124333.531476,0,0.08973411004183085,-0.18833711270597633,-0.4034204181357686,-0.21261870028267438,-0.35312432982233655,-0.24953121920247576,-0.23701282691249037,-0.20441392017738658,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::CPWwW92RFtBY2rwbzg,window_10_0pct,1784125721.725355,0,-0.318053661038376,-0.09445145577382907,-0.22286811685202357,-0.1599176548460383,-0.2003647964998135,-0.247084331405192,-0.23596144083085377,-0.21025722270331118,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::CiUUIe4zkKdBXYt2hg,window_10_0pct,1784124126.760469,0,-0.10739927654276261,-0.188963017085524,-0.46275476070377664,-0.2477527305737651,-0.4040441742631775,-0.24934607902888234,-0.23694224751170426,-0.11992148212936067,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_10_0pct::C91CFj4tZOgE1wZmi5,window_10_0pct,1784124203.16194,0,-0.3163669456949707,0.45571849384855384,0.5875034662483104,0.3319587692292318,0.5125130256719606,-0.241849078975579,-0.2341638467081361,-0.14532013015799192,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
