attack_type,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
apache_bench,6821,1487,0.9801339208632321,0.004066035040709924,0.9973368371559527,0.0008479551353823492,0.8804939269850699,0.0024195132923600557,0.05917998338464545,0.00136220103257258,1.0,0.0
portscan,6821,694,0.9994240994007232,0.00023850256083764523,0.9999382451859059,2.873929671780335e-05,0.7747115364252258,0.004009464381817927,0.05917998338464545,0.00136220103257258,1.0,0.0
slowloris,6821,929,1.0,0.0,1.0,0.0,0.8215272834139463,0.0033696154554054016,0.05917998338464545,0.00136220103257258,1.0,0.0
