attack_type,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
apache_bench,6821,1487,0.28327763743264295,0.01926357960248247,0.7259154014293386,0.027530335239862973,0.04010981718064008,8.331563438164853e-05,0.0613790744270146,0.0005925013757993522,0.026227303295225286,0.0
portscan,6821,694,0.9852655414391723,0.0008342067609584207,0.9974358021034945,0.00025470197643932797,0.7516854463065932,0.001703206892992534,0.0613790744270146,0.0005925013757993522,0.9654178674351584,0.0
slowloris,6821,929,1.0,0.0,1.0,0.0,0.8161071310236485,0.001448105400884997,0.0613790744270146,0.0005925013757993522,1.0,0.0
