attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__portscan,recall__apache_bench,recall__slowloris
portscan,0,6821,694,0.20407482087612125,0.9995786764508343,0.9999569054204953,0.7780269058295964,0.05805600351854567,1.0,1.0,,
portscan,1,6821,694,0.13106942772865227,0.9991494205942191,0.999905149675502,0.7702552719200888,0.060694912769388654,1.0,1.0,,
portscan,2,6821,694,0.13997017145156856,0.9995442011571161,0.9999526804617205,0.7758524315259921,0.05878903386600205,1.0,1.0,,
apache_bench,0,6821,1487,0.20407482087612125,0.984215065649399,0.9981877833467928,0.8824925816023739,0.05805600351854567,1.0,,1.0,
apache_bench,1,6821,1487,0.13106942772865227,0.9760831659217123,0.9964919050674924,0.8778040141676505,0.060694912769388654,1.0,,1.0,
apache_bench,2,6821,1487,0.13997017145156856,0.980103531018585,0.9973308230535728,0.8811851851851852,0.05878903386600205,1.0,,1.0,
slowloris,0,6821,929,0.20407482087612125,1.0,1.0,0.8243123336291038,0.05805600351854567,1.0,,,1.0
slowloris,1,6821,929,0.13106942772865227,1.0,1.0,0.8177816901408451,0.060694912769388654,1.0,,,1.0
slowloris,2,6821,929,0.13997017145156856,1.0,1.0,0.8224878264718902,0.05878903386600205,1.0,,,1.0
