src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.3,192.168.10.1,52261,80,6,2026-07-08 14:31:23,114824090.0,603.1922395378879,0.8186435442249096,0.4093217721124548,0.4093217721124548,47,47,7492,61769,554,60,159.40425531914894,179.694262754821,1514,66,1314.2340425531916,425.06376056214464,1514,60,736.8191489361702,663.2439774893334,439892.5736758713,940,940,20,11,1234667.6344086023,45061276.0,0.0,6240744.887732534,114824090.0,45061276.0,0.0,2496175.8695652173,8694338.38482262,114821551.0,45063686.0,3.0,2496120.6739130435,8695019.839065282,10,18,0,0,0,2,0,28,93,0,2,1.0,736.8191489361702,65535,501,32200381.999999996,2758.0,16493124.5,12558207.859930899,45059210.0,9409505.0,27757064.5,12915250.75945385,0,0,6861.625,5.125,0,186077966.1016949152542372881,159.40425531914894,1314.2340425531916,0,47,47,7492,61769
192.168.10.3,192.168.10.1,52262,80,6,2026-07-08 14:31:23,141032549.0,1175.487511042575,1.3968406683197652,0.6097883120583746,0.7870523562613905,86,111,10079,155703,557,60,117.19767441860465,141.39617933125137,1514,66,1402.7297297297298,340.42720765346854,1514,60,841.5329949238578,693.1964255853675,480521.2844443299,1720,2220,20,11,719553.8214285715,45063023.0,0.0,4730442.190821906,111070595.0,45063023.0,0.0,1306712.8823529412,6365839.94813878,141032529.0,45064073.0,3.0,1282113.9,6257644.531106398,10,26,0,0,1,2,0,36,196,0,2,1.2906976744186047,841.5329949238578,65535,501,29489309.0,1096.0,15813515.25,11738944.580625815,45061818.0,9403515.0,27078723.0,12737892.74106669,0,0,15639.111111111111,11.222222222222221,0,30230240.54982817869415807560,117.19767441860465,1402.7297297297298,0,86,111,10079,155703
192.168.10.3,192.168.10.1,52263,80,6,2026-07-08 14:31:23,114817490.0,470.5903255679949,0.6445011121563448,0.3048316071009739,0.3396695050553709,35,39,5385,48647,507,60,153.85714285714286,175.73310003803945,1514,66,1247.3589743589744,510.1241421146217,1514,60,730.1621621621622,670.6832342696962,449816.0007304602,700,780,20,9,1572842.3287671234,45386919.0,0.0,7528619.038373596,114817490.0,45386919.0,0.0,3376985.0,10751882.304967497,114813934.0,45387960.0,3.0,3021419.3157894737,10223503.0039206,7,14,0,0,0,2,0,21,73,0,2,1.1142857142857143,730.1621621621622,65535,501,45384461.0,2420.0,18265180.666666668,19556940.230788663,45380748.0,9412412.0,33283711.0,16880071.739296746,0,0,6580.714285714285,5.0,0,168736263.7362637362637362637,153.85714285714286,1247.3589743589744,0,35,39,5385,48647
192.168.10.3,192.168.10.1,52264,80,6,2026-07-08 14:31:23,114813298.0,718.3749742995798,0.8883988333825233,0.4180700392388345,0.47032879414368883,48,54,6703,75776,554,66,139.64583333333334,164.37881675965903,1514,66,1403.2592592592594,325.4284460912678,1514,66,808.6176470588235,683.0670601838366,466580.6087081891,960,1080,20,8,1136765.3267326732,32206838.0,0.0,5268446.414794715,114813298.0,32206837.999999996,0.0,2442836.1276595746,7513753.370693564,114811187.0,32208163.999999996,3.0,2166248.8113207547,7119006.398180911,8,16,0,0,0,2,0,24,101,0,2,1.125,808.6176470588235,65535,501,32203795.999999996,3119.0,17373709.2,11368460.538928064,32200819.0,9415501.0,22950348.6,7736961.704115604,0,0,11406.333333333334,8.166666666666666,0,35150487.93014894709809964047,139.64583333333334,1403.2592592592594,0,48,54,6703,75776
192.168.10.3,192.168.10.1,52265,80,6,2026-07-08 14:31:23,111067750.0,1106.7208978303784,1.305509475072647,0.5672213581350122,0.7382881169376349,63,82,7301,115620,613,60,115.88888888888889,141.85104093044626,1514,66,1410.0,334.5570788735313,1514,60,847.7310344827587,695.3647443303051,483532.12765755056,1260,1640,20,8,771303.8194444445,45061665.0,0.0,4932540.429753671,111067711.0,45061665.0,0.0,1791414.6935483871,7394649.560037445,111067743.0,45063772.0,3.0,1371206.7037037036,6514321.222884505,7,19,0,0,0,2,0,26,144,0,2,1.3015873015873016,847.7310344827587,65535,487,29485800.0,2762.0,15814105.0,11733646.828348678,45060136.0,9416016.0,27078140.25,12733238.890398474,0,0,17119.333333333332,12.166666666666666,0,28500554.93895671476137624861,115.88888888888889,1410.0,0,63,82,7301,115620
192.168.10.3,192.168.10.1,52266,80,6,2026-07-08 14:31:33,114775572.0,1097.0452841655192,1.2894729899494641,0.5663225969372647,0.7231503930121995,65,83,7431,118483,613,60,114.32307692307693,139.8314488333731,1514,66,1427.5060240963855,302.23857063281656,1514,60,850.7702702702703,696.0975884383287,484551.8526296567,1300,1660,20,8,780786.2040816327,45391306.0,0.0,4808375.1420650305,114775572.0,45391306.0,0.0,1793368.3125,7161627.742047138,114774858.0,45392350.0,4.0,1399693.3902439023,6370680.589161578,7,18,0,0,0,2,0,25,147,0,2,1.2769230769230768,850.7702702702703,65535,487,45388282.0,20882970.0,31391247.333333332,10303919.961273681,45391306.0,9369575.0,25886091.5,13060429.850226877,0,0,13206.625,9.25,0,52097140.03944773175542406312,114.32307692307693,1427.5060240963855,0,65,83,7431,118483
192.168.10.3,192.168.10.1,52241,80,6,2026-07-08 14:29:53,109946.0,50761.282811562036,127.33523729831008,72.76299274189147,54.5722445564186,8,6,1411,4170,554,66,176.375,189.57711986154868,1514,66,695.0,639.3619215019507,1514,66,398.64285714285717,511.468977853127,261600.5153061225,160,120,20,2,8457.384615384615,89597.0,18.0,23636.995030731807,109946.0,89597.0,421.0,15706.57142857143,30413.254050811196,109431.0,90370.0,50.0,21886.2,34911.595096185454,2,2,0,0,2,2,0,4,13,0,2,0.75,398.64285714285717,65535,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.375,695.0,0,8,6,1411,4170
192.168.10.3,192.168.10.1,52242,80,6,2026-07-08 14:29:53,96890.0,1002796.9862730931,1135.3080813293425,454.123232531737,681.1848487976055,44,66,3782,93379,501,66,85.95454545454545,90.15263686595249,1514,66,1414.8333333333333,349.4226226103845,1514,66,883.2818181818182,707.3395369824257,500329.2205785124,880,1320,20,2,888.8990825688073,66997.0,0.0,6481.124074189987,96890.0,66997.0,0.0,2253.2558139534885,10181.42413187683,96334.0,67568.0,3.0,1482.0615384615385,8436.274458235373,2,12,0,0,2,2,0,14,109,0,2,1.5,883.2818181818182,65535,503,0,0,0,0,0,0,0,0,0,0,29442.666666666668,20.333333333333332,0,19835616.43835616438356164384,85.95454545454545,1414.8333333333333,0,44,66,3782,93379
192.168.10.3,192.168.10.1,52243,80,6,2026-07-08 14:29:53,96453.0,72988.91688179736,155.5161581288296,82.94195100204244,72.57420712678714,8,7,978,6062,504,66,122.25,144.34139219226063,1514,66,866.0,693.6116657447039,1514,66,469.3333333333333,610.9828875581451,373300.088888889,160,140,20,1,6889.5,82071.0,4.0,21041.789724769817,96453.0,82071.0,124.0,13779.0,28208.808234308657,95966.0,84151.0,4.0,15994.333333333334,30744.55563546532,1,2,0,0,2,2,0,3,14,0,2,0.875,469.3333333333333,65535,506,0,0,0,0,0,0,0,0,0,0,5592.0,4.0,0,103555555.5555555555555555556,122.25,866.0,0,8,7,978,6062
192.168.10.3,192.168.10.1,52244,80,6,2026-07-08 14:29:53,92015.0,82280.0630332011,184.75248600771613,97.81013965114384,86.9423463565723,9,8,1044,6527,504,66,116.0,137.22973438726754,1514,66,815.875,700.7122158026075,1514,66,445.3529411764706,602.5446960405872,363060.1107266435,180,160,20,1,5750.9375,80805.0,3.0,19449.708559734096,92015.0,80805.0,160.0,11501.875,26336.345724290888,91532.0,83859.0,3.0,13076.0,28992.617060210345,1,2,0,0,2,2,0,3,16,0,2,0.8888888888888888,445.3529411764706,65535,506,0,0,0,0,0,0,0,0,0,0,5991.0,5.0,0,85585714.28571428571428571429,116.0,815.875,0,9,8,1044,6527
