src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.3,192.168.10.1,52289,80,6,2026-07-08 14:35:04,29805.0,424492.5348095957,805.234021137393,436.16842811608785,369.0655930213051,13,11,2161,10491,548,66,166.23076923076923,182.0017556323412,1514,66,953.7272727272727,645.5658674807694,1514,66,527.1666666666666,602.4254218481229,362916.38888888893,260,220,20,3,1295.8695652173913,21148.0,1.0,4284.777040562856,29805.0,21148.0,1.0,2483.75,5683.597688744339,29176.0,23386.0,4.0,2917.6,6904.400498232993,3,4,0,0,2,2,0,7,23,0,2,0.8461538461538461,527.1666666666666,65535,501,0,0,0,0,0,0,0,0,0,0,5991.0,5.0,0,213964285.7142857142857142857,166.23076923076923,953.7272727272727,0,13,11,2161,10491
192.168.10.3,192.168.10.1,52290,80,6,2026-07-08 14:35:04,25890.0,3757473.92815759,4325.99459250676,1776.7477790652763,2549.246813441483,46,66,3902,93379,495,66,84.82608695652173,87.04154538965014,1514,66,1414.8333333333333,349.4226226103845,1514,66,868.5803571428571,709.358370017693,503189.29711415834,920,1320,20,2,233.24324324324326,10669.0,3.0,1047.7513821755342,25890.0,10669.0,37.0,575.3333333333334,1590.7445636137393,25316.0,11211.0,3.0,389.4769230769231,1501.8841306089987,2,12,0,0,2,2,0,14,111,0,2,1.434782608695652,868.5803571428571,65535,503,0,0,0,0,0,0,0,0,0,0,17731.0,12.4,0,25200397.95338260375213189312,84.82608695652173,1414.8333333333333,0,46,66,3902,93379
192.168.10.3,192.168.10.1,52291,80,6,2026-07-08 14:35:04,25751.0,575783.4647198167,970.8360840355715,504.83476369849717,466.0013203370743,13,12,1734,13093,498,66,133.3846153846154,155.50490393530677,1514,66,1091.0833333333333,609.04480655276,1514,66,593.08,647.7294447529771,419553.43360000005,260,240,20,2,1072.9583333333333,18970.0,0.0,3774.3622582626094,25751.0,18970.0,0.0,2145.9166666666665,5123.130365611981,25147.0,22009.0,3.0,2286.090909090909,6272.808033735702,2,4,0,0,2,2,0,6,24,0,2,0.9230769230769231,593.08,65535,503,0,0,0,0,0,0,0,0,0,0,6146.5,4.5,0,211948275.8620689655172413793,133.3846153846154,1091.0833333333333,0,13,12,1734,13093
192.168.10.3,192.168.10.1,52292,80,6,2026-07-08 14:35:04,24053.0,424271.4006568827,789.9222550201638,415.7485552737704,374.17369974639337,10,9,1104,9101,498,66,110.4,129.24952611131692,1514,66,1011.2222222222222,668.9676587063547,1514,66,537.1052631578947,650.4480152161393,423082.62049861497,200,180,20,1,1336.2777777777778,18267.0,3.0,4157.021286738265,24053.0,18267.0,84.0,2672.5555555555557,5570.5261293727635,23465.0,21317.0,3.0,2933.125,6981.891155652242,1,2,0,0,2,2,0,3,18,0,2,0.9,537.1052631578947,65535,506,0,0,0,0,0,0,0,0,0,0,8499.0,6.0,0,303535714.2857142857142857143,110.4,1011.2222222222222,0,10,9,1104,9101
192.168.10.3,192.168.10.1,52293,80,6,2026-07-08 14:35:04,23857.0,17437.230163054868,251.49851196713752,167.66567464475835,83.83283732237918,4,2,276,140,78,66,69.0,5.196152422706632,74,66,70.0,4.0,78,66,69.33333333333333,4.85340659285368,23.55555555555556,80,40,20,0,4771.4,20379.0,11.0,7872.010431903656,23857.0,20379.0,637.0,7952.333333333333,8832.928443550807,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,2,0.5,69.33333333333333,65535,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,70.0,0,4,2,276,140
192.168.10.3,192.168.10.1,52298,80,6,2026-07-08 14:35:14,64379853.99999999,987.5604874779617,1.2270919409043706,0.5436483282487717,0.6834436126555988,35,44,5798,57781,551,66,165.65714285714284,183.15503859644514,1514,66,1313.2045454545455,430.4493201900383,1514,66,804.7974683544304,665.5847981571503,443003.12353789445,700,880,20,8,825382.7435897436,32491056.0,0.0,4232088.959987928,64379854.0,32491056.0,0.0,1893525.1176470588,6250313.333739883,64379312.0,32493336.0,3.0,1497193.3023255814,5611810.622263116,8,14,0,0,2,2,0,22,78,0,2,1.2571428571428571,804.7974683544304,65535,501,16666751.999999998,1554.0,7962680.25,5932301.0392130455,32489213.0,6768984.0,16084667.25,10186724.696640436,0,0,9450.4,7.0,0,106423423.4234234234234234234,165.65714285714284,1313.2045454545455,0,35,44,5798,57781
192.168.10.3,192.168.10.1,52299,80,6,2026-07-08 14:35:14,64371306.00000001,645.4739321274606,0.9320923207616759,0.46604616038083796,0.46604616038083796,30,30,4164,37386,501,66,138.8,161.727425008871,1514,66,1246.2,513.6643781043546,1514,66,692.5,672.0023189444115,451587.11666666664,600,600,20,5,1091039.0847457626,32490254.0,0.0,5032505.501883689,64371306.0,32490254.0,0.0,2219700.206896552,7001446.148238801,64370859.0,32492870.000000004,3.0,2219684.793103448,7002272.186235834,5,10,0,0,2,2,0,15,59,0,2,1.0,692.5,65535,501,16661733.000000002,15201164.0,15931448.5,730284.5000000009,32488149.0,15204344.0,21451050.333333332,7827020.414348844,0,0,7079.6,5.4,0,204612716.7630057803468208092,138.8,1246.2,0,30,30,4164,37386
192.168.10.3,192.168.10.1,52300,80,6,2026-07-08 14:35:14,64370827.00000001,514.2236249349413,0.7612143929733883,0.38837469029254507,0.37283970268084327,25,24,3399,29702,501,66,135.96,159.00729039889964,1514,66,1237.5833333333333,516.2877844660755,1514,66,675.530612244898,668.3736918221971,446723.3919200333,500,480,20,4,1341058.8958333333,32491567.0,0.0,5549536.564576884,64370827.0,32491567.000000004,0.0,2682117.7916666665,7615630.918185029,64370335.0,32493870.0,3.0,2798710.217391304,7759227.048213932,4,8,0,0,2,2,0,12,48,0,2,0.96,675.530612244898,65535,501,16666687.0,1326.0,10622352.666666666,7534062.59820797,32490208.0,15199742.0,21451991.0,7828119.011914974,0,0,7027.5,5.25,0,244434782.6086956521739130435,135.96,1237.5833333333333,0,25,24,3399,29702
192.168.10.3,192.168.10.1,52301,80,6,2026-07-08 14:35:14,64369337.0,351.93775570501833,0.5437371523649529,0.2641009025772628,0.27963624978769,17,18,2436,20218,501,66,143.2941176470588,165.14762191512617,1514,66,1123.2222222222222,586.7471114879954,1514,66,647.2571428571429,655.8736961535524,430170.3053061224,340,360,20,3,1893215.794117647,32492493.0,3.0,6514186.095311392,64369337.0,32492493.000000004,105.0,4023083.5625,9033544.850562576,64368858.0,32493892.000000004,3.0,3786403.411764706,8815620.53393086,3,6,0,0,2,2,0,9,34,0,2,1.0588235294117647,647.2571428571429,65535,501,0,0,0,0,16662552.0,15203673.0,15897844.666666666,597669.6101606268,0,0,6340.666666666667,5.0,0,267915492.9577464788732394366,143.2941176470588,1123.2222222222222,0,17,18,2436,20218
192.168.10.3,192.168.10.1,52302,80,6,2026-07-08 14:35:14,64369336.00000001,1927.9676894600868,2.252625380507265,0.9787268894617772,1.2738984910454878,63,82,7265,116837,607,66,115.31746031746032,139.94395991738816,1514,66,1424.841463414634,304.56123856604404,1514,66,855.8758620689655,694.4906730364359,482317.29493460164,1260,1640,20,7,447009.27777777775,32490882.0,0.0,3141268.517035151,64369336.0,32490882.0,0.0,1038215.0967741936,4722755.915928342,64368885.0,32493265.0,3.0,794677.5925925926,4155742.3306809072,7,17,0,0,2,2,0,24,144,0,2,1.3015873015873016,855.8758620689655,65535,488,16650237.0,2087.0,7960189.0,5925253.89002581,32488933.0,6780711.0,16081866.0,10184792.884590657,0,0,20785.4,14.6,0,42161054.76673427991886409736,115.31746031746032,1424.841463414634,0,63,82,7265,116837
