epoch_millis,thread_label,page
1783513505628,bot-browsing-19,CONTACT
1783513506115,bot-browsing-17,CONTACT
1783513508987,bot-browsing-12,PRODUCTS
1783513510566,bot-browsing-23,HOME
1783513511087,bot-browsing-18,ABOUT
1783513511703,bot-browsing-19,HOME
1783513514275,bot-browsing-17,PRODUCTS
1783513514351,bot-browsing-11,HOME
1783513516795,bot-browsing-23,PRODUCTS
1783513517743,bot-browsing-24,HOME
1783513518860,bot-browsing-13,HOME
1783513519729,bot-browsing-23,PRODUCT_DETAIL
1783513520839,bot-browsing-12,PRODUCT_DETAIL
1783513523853,bot-browsing-24,PRODUCTS
1783513524335,bot-browsing-20,ABOUT
1783513525944,bot-browsing-23,PRODUCTS
1783513529632,bot-browsing-18,PRODUCTS
1783513530296,bot-browsing-13,PRODUCTS
1783513530644,bot-browsing-11,CONTACT
1783513531012,bot-browsing-21,HOME
1783513531981,bot-browsing-19,PRODUCTS
1783513532668,bot-browsing-12,PRODUCTS
1783513534535,bot-browsing-17,HOME
1783513535240,bot-browsing-17,CONTACT
1783513535272,bot-browsing-23,PRODUCT_DETAIL
1783513538349,bot-browsing-18,HOME
1783513540878,bot-browsing-25,HOME
1783513545578,bot-browsing-23,PRODUCTS
1783513545866,bot-browsing-13,PRODUCT_DETAIL
1783513546919,bot-browsing-26,HOME
1783513547621,bot-browsing-21,ABOUT
1783513553024,bot-browsing-25,PRODUCTS
1783513555768,bot-browsing-19,PRODUCT_DETAIL
1783513557147,bot-browsing-23,PRODUCT_DETAIL
1783513557219,bot-form_filling-27,PRODUCTS
1783513558754,bot-browsing-13,HOME
1783513558842,bot-form_filling-27,CONTACT
1783513558943,bot-searching-28,HOME
1783513559617,bot-searching-28,PRODUCTS
1783513559665,bot-searching-28,HOME
1783513559813,bot-searching-28,PRODUCTS
1783513561104,bot-browsing-26,PRODUCTS
1783513561736,bot-browsing-12,PRODUCT_DETAIL
1783513563744,bot-form_filling-27,SUBMIT_CONTACT
1783513564435,bot-browsing-30,HOME
1783513564437,bot-searching-29,HOME
1783513564824,bot-searching-29,PRODUCTS
1783513564902,bot-searching-29,PRODUCT_DETAIL
1783513565152,bot-browsing-19,PRODUCTS
1783513565645,bot-browsing-25,PRODUCT_DETAIL
1783513566284,bot-form_filling-27,HOME
1783513566761,bot-browsing-31,HOME
1783513567461,bot-searching-28,PRODUCT_DETAIL
1783513567760,bot-searching-28,PRODUCTS
1783513568332,bot-searching-28,PRODUCT_DETAIL
1783513569009,bot-browsing-13,PRODUCTS
1783513572187,bot-browsing-30,CONTACT
1783513572526,bot-searching-32,HOME
1783513575169,bot-browsing-33,HOME
1783513576371,bot-browsing-19,PRODUCT_DETAIL
1783513577642,bot-searching-32,PRODUCTS
1783513578910,bot-browsing-21,PRODUCTS
1783513581030,bot-browsing-34,HOME
1783513581409,bot-browsing-26,PRODUCT_DETAIL
1783513582345,bot-browsing-21,HOME
1783513584071,bot-browsing-24,PRODUCT_DETAIL
1783513584598,bot-browsing-20,HOME
1783513585939,bot-searching-35,HOME
1783513585990,bot-browsing-33,CONTACT
1783513586088,bot-searching-35,PRODUCTS
1783513586139,bot-searching-36,HOME
1783513586176,bot-searching-35,CONTACT
1783513586236,bot-searching-35,PRODUCTS
1783513586413,bot-searching-35,PRODUCT_DETAIL
1783513586505,bot-searching-35,PRODUCTS
1783513586555,bot-searching-32,PRODUCT_DETAIL
1783513586597,bot-searching-35,PRODUCT_DETAIL
1783513587102,bot-searching-36,CONTACT
1783513587845,bot-browsing-30,HOME
1783513588927,bot-searching-36,HOME
1783513588962,bot-searching-36,PRODUCTS
1783513591362,bot-browsing-19,PRODUCTS
1783513591449,bot-browsing-31,PRODUCTS
1783513592316,bot-searching-37,HOME
1783513594044,bot-searching-36,PRODUCT_DETAIL
1783513594676,bot-browsing-33,PRODUCTS
1783513594796,bot-browsing-21,PRODUCTS
1783513594930,bot-browsing-34,PRODUCTS
1783513595056,bot-browsing-25,CONTACT
1783513595943,bot-browsing-12,HOME
1783513596957,bot-browsing-20,PRODUCTS
1783513597595,bot-searching-37,PRODUCTS
1783513597712,bot-searching-37,PRODUCT_DETAIL
1783513598438,bot-browsing-18,PRODUCTS
1783513598452,bot-browsing-19,HOME
1783513603090,bot-browsing-20,PRODUCT_DETAIL
1783513603564,bot-browsing-24,PRODUCTS
1783513604140,bot-browsing-23,HOME
1783513606092,bot-browsing-34,CONTACT
1783513607206,bot-browsing-38,HOME
1783513607485,bot-browsing-30,PRODUCTS
1783513607823,bot-browsing-31,PRODUCT_DETAIL
1783513608341,bot-browsing-31,HOME
1783513608756,bot-browsing-33,CONTACT
1783513609279,bot-browsing-26,PRODUCTS
1783513610347,bot-browsing-21,PRODUCT_DETAIL
1783513610760,bot-browsing-23,PRODUCTS
1783513611497,bot-browsing-24,PRODUCT_DETAIL
1783513612004,bot-browsing-18,PRODUCT_DETAIL
1783513613227,bot-browsing-18,PRODUCTS
1783513613651,bot-browsing-38,PRODUCTS
1783513614126,bot-browsing-39,HOME
1783513614610,bot-browsing-31,PRODUCTS
1783513614794,bot-browsing-25,HOME
1783513616958,bot-browsing-20,PRODUCTS
1783513617138,bot-browsing-21,HOME
1783513618251,bot-browsing-33,PRODUCTS
1783513621164,bot-browsing-25,ABOUT
1783513621411,bot-browsing-24,HOME
1783513621960,bot-browsing-12,ABOUT
1783513622016,bot-browsing-26,PRODUCT_DETAIL
1783513626363,bot-browsing-39,PRODUCTS
1783513626955,bot-browsing-19,CONTACT
1783513629720,bot-browsing-30,ABOUT
1783513629740,bot-browsing-20,PRODUCT_DETAIL
1783513630011,bot-browsing-30,HOME
1783513630738,bot-browsing-31,PRODUCT_DETAIL
1783513631650,bot-browsing-38,HOME
1783513631941,bot-browsing-24,PRODUCTS
1783513631948,bot-browsing-34,PRODUCTS
1783513636153,bot-browsing-25,PRODUCTS
1783513636951,bot-browsing-20,PRODUCTS
1783513637221,bot-browsing-40,HOME
1783513638066,bot-browsing-34,PRODUCT_DETAIL
1783513638990,bot-browsing-23,PRODUCT_DETAIL
1783513639574,bot-browsing-41,HOME
1783513640866,bot-browsing-31,PRODUCTS
1783513640985,bot-browsing-26,HOME
1783513641119,bot-browsing-18,PRODUCT_DETAIL
1783513641544,bot-browsing-30,CONTACT
1783513643407,bot-browsing-38,PRODUCTS
1783513644161,bot-browsing-39,PRODUCT_DETAIL
1783513644995,bot-browsing-12,HOME
1783513645999,bot-browsing-23,PRODUCTS
1783513646851,bot-browsing-25,HOME
1783513650096,bot-browsing-40,ABOUT
1783513651362,bot-browsing-20,PRODUCT_DETAIL
1783513651523,bot-browsing-41,PRODUCTS
1783513651637,bot-browsing-34,PRODUCTS
1783513652061,bot-browsing-23,CONTACT
1783513653687,bot-browsing-39,PRODUCTS
1783513653825,bot-browsing-24,PRODUCT_DETAIL
1783513656434,bot-browsing-26,PRODUCTS
1783513656800,bot-browsing-31,PRODUCT_DETAIL
1783513656858,bot-browsing-19,PRODUCTS
1783513657452,bot-browsing-20,HOME
1783513657704,bot-browsing-38,HOME
1783513660836,bot-browsing-42,HOME
1783513661620,bot-browsing-12,CONTACT
1783513662213,bot-browsing-39,PRODUCT_DETAIL
1783513662812,bot-browsing-26,CONTACT
1783513663023,bot-form_filling-43,ABOUT
1783513663131,bot-browsing-34,PRODUCT_DETAIL
1783513663210,bot-browsing-44,HOME
1783513663226,bot-form_filling-43,CONTACT
1783513665910,bot-browsing-25,PRODUCTS
1783513666191,bot-browsing-41,HOME
1783513666536,bot-browsing-39,PRODUCTS
1783513667201,bot-form_filling-43,SUBMIT_CONTACT
1783513668153,bot-browsing-23,HOME
1783513668836,bot-browsing-33,CONTACT
1783513671247,bot-browsing-40,HOME
1783513671972,bot-browsing-25,CONTACT
1783513672170,bot-browsing-44,PRODUCTS
1783513677109,bot-browsing-12,HOME
1783513677305,bot-browsing-21,ABOUT
1783513677400,bot-browsing-34,PRODUCTS
1783513677728,bot-browsing-45,HOME
1783513677971,bot-browsing-26,HOME
1783513678269,bot-browsing-40,PRODUCTS
1783513678980,bot-browsing-42,PRODUCTS
1783513679502,bot-browsing-33,PRODUCTS
1783513679577,bot-browsing-38,CONTACT
1783513679938,bot-browsing-41,PRODUCTS
1783513680019,bot-browsing-24,PRODUCTS
1783513680821,bot-browsing-24,CONTACT
1783513683816,bot-browsing-44,PRODUCT_DETAIL
1783513684135,bot-browsing-26,CONTACT
1783513685170,bot-browsing-42,PRODUCT_DETAIL
1783513685645,bot-browsing-38,PRODUCTS
1783513687623,bot-browsing-23,CONTACT
1783513688810,bot-browsing-45,PRODUCTS
1783513689814,bot-browsing-25,HOME
1783513691642,bot-browsing-39,PRODUCT_DETAIL
1783513692584,bot-browsing-20,ABOUT
1783513692982,bot-browsing-44,PRODUCTS
1783513695134,bot-browsing-42,CONTACT
1783513696086,bot-browsing-34,PRODUCT_DETAIL
1783513696401,bot-searching-46,HOME
1783513699322,bot-browsing-44,PRODUCT_DETAIL
1783513699951,bot-browsing-31,PRODUCTS
1783513700778,bot-browsing-40,HOME
1783513702740,bot-browsing-41,CONTACT
1783513704908,bot-browsing-47,HOME
1783513705317,bot-browsing-26,PRODUCTS
1783513705559,bot-browsing-39,HOME
1783513706220,bot-browsing-20,HOME
1783513710917,bot-browsing-42,HOME
1783513712702,bot-browsing-40,ABOUT
1783513712762,bot-searching-48,HOME
1783513713470,bot-browsing-39,PRODUCTS
1783513715541,bot-browsing-41,PRODUCTS
1783513717846,bot-browsing-38,ABOUT
1783513719381,bot-browsing-45,PRODUCT_DETAIL
1783513720268,bot-searching-49,HOME
1783513720313,bot-searching-48,PRODUCTS
1783513725306,bot-searching-49,PRODUCTS
1783513725473,bot-searching-49,PRODUCT_DETAIL
1783513725697,bot-browsing-38,PRODUCTS
1783513725876,bot-searching-49,PRODUCTS
1783513726071,bot-searching-49,PRODUCT_DETAIL
1783513727139,bot-browsing-26,PRODUCT_DETAIL
1783513727733,bot-searching-46,PRODUCTS
1783513727857,bot-searching-46,PRODUCT_DETAIL
1783513728152,bot-searching-46,PRODUCTS
1783513728241,bot-searching-46,PRODUCT_DETAIL
1783513728289,bot-searching-46,PRODUCTS
1783513728411,bot-searching-46,PRODUCT_DETAIL
1783513729151,bot-browsing-47,PRODUCTS
1783513729365,bot-browsing-50,HOME
1783513731947,bot-browsing-38,HOME
1783513733107,bot-browsing-39,PRODUCT_DETAIL
1783513735355,bot-browsing-41,CONTACT
1783513738412,bot-browsing-26,PRODUCTS
1783513740079,bot-browsing-39,PRODUCTS
1783513740220,bot-browsing-39,PRODUCT_DETAIL
1783513741852,bot-searching-46,HOME
1783513743817,bot-browsing-47,PRODUCT_DETAIL
1783513744143,bot-searching-51,HOME
1783513745091,bot-browsing-31,CONTACT
1783513747279,bot-browsing-42,PRODUCTS
1783513747296,bot-browsing-26,CONTACT
1783513748112,bot-searching-48,PRODUCT_DETAIL
1783513748203,bot-browsing-40,PRODUCTS
1783513748222,bot-searching-48,PRODUCTS
1783513748261,bot-browsing-45,HOME
1783513749214,bot-searching-51,PRODUCTS
1783513749381,bot-searching-52,HOME
1783513749477,bot-searching-52,PRODUCTS
1783513749598,bot-searching-52,PRODUCT_DETAIL
1783513749912,bot-searching-52,HOME
1783513750161,bot-browsing-41,HOME
1783513750292,bot-searching-52,PRODUCTS
1783513751595,bot-searching-52,PRODUCT_DETAIL
1783513754246,bot-browsing-31,HOME
1783513755426,bot-searching-51,PRODUCT_DETAIL
1783513755476,bot-searching-51,PRODUCTS
1783513755574,bot-searching-51,PRODUCT_DETAIL
1783513755807,bot-searching-51,PRODUCTS
1783513755878,bot-searching-51,PRODUCT_DETAIL
1783513756587,bot-browsing-50,PRODUCTS
1783513757394,bot-browsing-47,HOME
1783513758637,bot-browsing-40,ABOUT
1783513759514,bot-browsing-26,HOME
1783513759524,bot-browsing-44,PRODUCTS
1783513764211,bot-browsing-31,CONTACT
1783513765123,bot-searching-52,HOME
1783513765214,bot-searching-52,PRODUCTS
1783513765719,bot-browsing-42,PRODUCT_DETAIL
1783513766002,bot-browsing-50,PRODUCT_DETAIL
1783513766570,bot-browsing-53,HOME
1783513766951,bot-browsing-54,HOME
1783513767217,bot-searching-48,PRODUCT_DETAIL
1783513767355,bot-browsing-41,PRODUCTS
1783513769162,bot-searching-48,PRODUCTS
1783513769300,bot-browsing-40,HOME
1783513769870,bot-browsing-44,PRODUCT_DETAIL
1783513770919,bot-searching-55,HOME
1783513772179,bot-browsing-50,PRODUCTS
1783513772366,bot-searching-55,PRODUCTS
1783513772928,bot-searching-55,PRODUCT_DETAIL
1783513773044,bot-searching-55,PRODUCTS
1783513773061,bot-browsing-47,PRODUCTS
1783513773337,bot-searching-55,PRODUCT_DETAIL
1783513773852,bot-searching-55,PRODUCTS
1783513773916,bot-searching-55,PRODUCT_DETAIL
1783513774198,bot-browsing-31,PRODUCTS
1783513777145,bot-searching-55,HOME
1783513779437,bot-browsing-26,ABOUT
1783513780611,bot-browsing-56,HOME
1783513780661,bot-searching-48,PRODUCT_DETAIL
1783513780878,bot-searching-52,PRODUCT_DETAIL
1783513781591,bot-searching-48,PRODUCTS
1783513781644,bot-browsing-54,PRODUCTS
1783513781695,bot-searching-48,PRODUCT_DETAIL
1783513781862,bot-browsing-44,PRODUCTS
1783513783872,bot-browsing-45,ABOUT
1783513785215,bot-browsing-42,PRODUCTS
1783513788091,bot-browsing-31,PRODUCT_DETAIL
1783513788636,bot-browsing-47,PRODUCT_DETAIL
1783513792265,bot-browsing-53,CONTACT
1783513793088,bot-browsing-44,ABOUT
1783513794186,bot-browsing-40,PRODUCTS
1783513794280,bot-browsing-53,PRODUCTS
1783513796305,bot-browsing-45,PRODUCTS
1783513798402,bot-browsing-31,PRODUCTS
1783513798968,bot-browsing-50,PRODUCT_DETAIL
1783513799228,bot-browsing-56,ABOUT
1783513800376,bot-browsing-44,HOME
1783513800667,bot-browsing-57,HOME
1783513805377,bot-browsing-56,HOME
1783513805385,bot-browsing-50,PRODUCTS
1783513806719,bot-browsing-57,ABOUT
1783513807214,bot-browsing-54,PRODUCT_DETAIL
1783513807369,bot-searching-55,PRODUCTS
1783513807455,bot-searching-55,PRODUCT_DETAIL
1783513808205,bot-searching-55,HOME
1783513810281,bot-browsing-53,PRODUCT_DETAIL
1783513814756,bot-browsing-47,HOME
1783513816530,bot-browsing-31,PRODUCT_DETAIL
1783513817731,bot-browsing-53,PRODUCTS
1783513822438,bot-browsing-45,CONTACT
1783513823834,bot-browsing-58,HOME
1783513824467,bot-browsing-53,PRODUCT_DETAIL
1783513825015,bot-browsing-54,HOME
1783513827126,bot-browsing-57,HOME
1783513827683,bot-browsing-59,HOME
1783513828643,bot-browsing-60,HOME
1783513829635,bot-browsing-60,PRODUCTS
1783513829759,bot-browsing-44,CONTACT
1783513833798,bot-browsing-58,PRODUCTS
1783513836945,bot-browsing-57,ABOUT
1783513837390,bot-browsing-47,CONTACT
1783513837603,bot-browsing-61,HOME
1783513839195,bot-browsing-40,PRODUCT_DETAIL
1783513839218,bot-browsing-59,CONTACT
1783513839417,bot-browsing-56,PRODUCTS
1783513841152,bot-browsing-54,ABOUT
1783513842152,bot-browsing-62,HOME
1783513844367,bot-browsing-44,HOME
1783513845041,bot-browsing-45,PRODUCTS
1783513846257,bot-browsing-53,PRODUCTS
1783513846596,bot-searching-63,HOME
1783513846631,bot-searching-63,CONTACT
1783513848224,bot-searching-63,PRODUCTS
1783513848284,bot-browsing-54,PRODUCTS
1783513848476,bot-searching-63,PRODUCT_DETAIL
1783513848517,bot-browsing-54,PRODUCT_DETAIL
1783513848560,bot-searching-63,HOME
1783513849714,bot-browsing-57,PRODUCTS
1783513849782,bot-browsing-58,PRODUCT_DETAIL
1783513852091,bot-browsing-56,PRODUCT_DETAIL
1783513852805,bot-searching-64,HOME
1783513852876,bot-searching-64,PRODUCTS
1783513854141,bot-searching-65,HOME
1783513854596,bot-browsing-60,PRODUCT_DETAIL
1783513854769,bot-searching-65,PRODUCTS
1783513854908,bot-searching-65,PRODUCT_DETAIL
1783513855314,bot-browsing-54,CONTACT
1783513855591,bot-searching-65,HOME
1783513855846,bot-searching-66,HOME
1783513856432,bot-browsing-58,PRODUCTS
1783513856519,bot-searching-65,PRODUCTS
1783513856575,bot-searching-65,PRODUCT_DETAIL
1783513858385,bot-browsing-45,HOME
1783513861538,bot-browsing-54,PRODUCTS
1783513861870,bot-browsing-44,CONTACT
1783513862986,bot-browsing-59,HOME
1783513865093,bot-browsing-50,PRODUCT_DETAIL
1783513865903,bot-browsing-58,PRODUCT_DETAIL
1783513866678,bot-searching-64,PRODUCT_DETAIL
1783513866705,bot-searching-63,CONTACT
1783513866938,bot-searching-64,PRODUCTS
1783513867835,bot-browsing-50,PRODUCTS
1783513869189,bot-browsing-59,PRODUCTS
1783513869976,bot-searching-66,PRODUCTS
1783513870091,bot-searching-66,PRODUCT_DETAIL
1783513870455,bot-searching-66,PRODUCTS
1783513870755,bot-browsing-61,PRODUCTS
1783513871170,bot-browsing-57,CONTACT
1783513872881,bot-browsing-62,PRODUCTS
