epoch_millis,thread_label,page
1783516241842,bot-browsing-25,HOME
1783516242991,bot-browsing-25,PRODUCTS
1783516244294,bot-browsing-23,PRODUCT_DETAIL
1783516244897,bot-searching-19,PRODUCTS
1783516244956,bot-browsing-21,PRODUCTS
1783516247205,bot-browsing-14,HOME
1783516248880,bot-browsing-15,PRODUCT_DETAIL
1783516250480,bot-browsing-23,HOME
1783516250657,bot-browsing-26,HOME
1783516253322,bot-browsing-14,CONTACT
1783516254729,bot-browsing-27,HOME
1783516255079,bot-browsing-25,CONTACT
1783516256524,bot-browsing-23,PRODUCTS
1783516257202,bot-browsing-21,PRODUCT_DETAIL
1783516258092,bot-searching-24,PRODUCT_DETAIL
1783516258741,bot-browsing-13,PRODUCT_DETAIL
1783516259004,bot-browsing-15,HOME
1783516259748,bot-browsing-14,PRODUCTS
1783516259828,bot-browsing-5,HOME
1783516264364,bot-browsing-21,HOME
1783516265237,bot-searching-28,HOME
1783516266190,bot-browsing-5,ABOUT
1783516267221,bot-searching-28,PRODUCTS
1783516267305,bot-searching-28,PRODUCT_DETAIL
1783516267376,bot-searching-28,PRODUCTS
1783516267430,bot-searching-28,PRODUCT_DETAIL
1783516268972,bot-browsing-25,PRODUCTS
1783516269335,bot-searching-28,PRODUCTS
1783516269824,bot-searching-29,HOME
1783516269873,bot-searching-29,PRODUCTS
1783516269982,bot-searching-29,PRODUCT_DETAIL
1783516272046,bot-browsing-26,ABOUT
1783516272684,bot-browsing-5,HOME
1783516274740,bot-searching-29,PRODUCTS
1783516274825,bot-searching-29,PRODUCT_DETAIL
1783516275480,bot-searching-29,HOME
1783516277299,bot-searching-28,PRODUCT_DETAIL
1783516281042,bot-browsing-15,PRODUCTS
1783516281230,bot-browsing-25,PRODUCT_DETAIL
1783516281943,bot-browsing-26,CONTACT
1783516284032,bot-browsing-21,PRODUCTS
1783516285218,bot-searching-30,HOME
1783516285248,bot-searching-30,PRODUCTS
1783516285414,bot-searching-30,PRODUCT_DETAIL
1783516285840,bot-browsing-27,PRODUCTS
1783516285880,bot-searching-30,HOME
1783516287199,bot-searching-30,CONTACT
1783516288804,bot-searching-30,HOME
1783516290094,bot-browsing-8,HOME
1783516290838,bot-browsing-21,PRODUCT_DETAIL
1783516292983,bot-browsing-13,PRODUCTS
1783516293504,bot-browsing-25,PRODUCTS
1783516293518,bot-browsing-23,PRODUCT_DETAIL
1783516294643,bot-browsing-25,PRODUCT_DETAIL
1783516295024,bot-browsing-15,PRODUCT_DETAIL
1783516297554,bot-browsing-26,PRODUCTS
1783516297784,bot-browsing-14,PRODUCT_DETAIL
1783516299339,bot-browsing-14,HOME
1783516301342,bot-browsing-1,HOME
1783516302949,bot-browsing-23,HOME
1783516303531,bot-searching-31,HOME
1783516303558,bot-searching-31,PRODUCTS
1783516303869,bot-searching-31,PRODUCT_DETAIL
1783516304725,bot-browsing-23,PRODUCTS
1783516307445,bot-browsing-15,HOME
1783516307582,bot-browsing-13,HOME
1783516307896,bot-browsing-27,CONTACT
1783516310631,bot-browsing-25,PRODUCTS
1783516311645,bot-browsing-23,PRODUCT_DETAIL
1783516311831,bot-browsing-8,PRODUCTS
1783516313473,bot-browsing-26,PRODUCT_DETAIL
1783516313767,bot-browsing-21,PRODUCTS
1783516315438,bot-browsing-15,ABOUT
1783516316723,bot-browsing-25,PRODUCT_DETAIL
1783516322306,bot-browsing-27,PRODUCTS
1783516328020,bot-browsing-8,ABOUT
1783516332139,bot-browsing-23,HOME
1783516332348,bot-browsing-32,HOME
1783516333383,bot-browsing-21,PRODUCT_DETAIL
1783516334688,bot-form_filling-33,PRODUCTS
1783516334750,bot-form_filling-33,HOME
1783516334766,bot-form_filling-33,CONTACT
1783516338237,bot-browsing-27,PRODUCT_DETAIL
1783516338787,bot-form_filling-33,SUBMIT_CONTACT
1783516339498,bot-browsing-23,PRODUCTS
1783516339831,bot-browsing-34,HOME
1783516340981,bot-browsing-8,PRODUCTS
1783516344364,bot-browsing-27,HOME
1783516344949,bot-browsing-26,HOME
1783516345129,bot-browsing-25,HOME
1783516348584,bot-searching-35,HOME
1783516348626,bot-searching-35,ABOUT
1783516352096,bot-browsing-36,HOME
1783516352211,bot-browsing-34,ABOUT
1783516354477,bot-searching-35,HOME
1783516354696,bot-browsing-21,PRODUCTS
1783516354871,bot-searching-35,PRODUCTS
1783516362022,bot-searching-35,PRODUCT_DETAIL
1783516362398,bot-searching-35,PRODUCTS
1783516362822,bot-browsing-36,PRODUCTS
1783516363091,bot-searching-35,PRODUCT_DETAIL
1783516363488,bot-searching-37,HOME
1783516364116,bot-searching-37,PRODUCTS
1783516364206,bot-searching-37,PRODUCT_DETAIL
1783516364416,bot-searching-37,PRODUCTS
1783516364560,bot-searching-37,PRODUCT_DETAIL
1783516364639,bot-searching-37,PRODUCTS
1783516365661,bot-browsing-27,PRODUCTS
1783516367191,bot-browsing-23,PRODUCT_DETAIL
1783516367337,bot-browsing-25,PRODUCTS
1783516368591,bot-browsing-38,HOME
1783516371139,bot-searching-37,PRODUCT_DETAIL
1783516371492,bot-searching-37,PRODUCTS
1783516372397,bot-browsing-36,PRODUCT_DETAIL
1783516373753,bot-browsing-39,HOME
1783516374021,bot-searching-37,PRODUCT_DETAIL
1783516375605,bot-browsing-38,CONTACT
1783516376675,bot-browsing-23,PRODUCTS
1783516378905,bot-form_filling-40,ABOUT
1783516380806,bot-form_filling-40,PRODUCTS
1783516381024,bot-form_filling-40,HOME
1783516381083,bot-form_filling-40,CONTACT
1783516382358,bot-browsing-25,PRODUCT_DETAIL
1783516382769,bot-browsing-39,PRODUCTS
1783516383341,bot-browsing-39,PRODUCT_DETAIL
1783516383391,bot-browsing-41,HOME
1783516384649,bot-form_filling-40,SUBMIT_CONTACT
1783516385461,bot-browsing-39,PRODUCTS
1783516387185,bot-form_filling-40,HOME
1783516388951,bot-browsing-23,PRODUCT_DETAIL
1783516390141,bot-browsing-25,HOME
1783516391186,bot-browsing-42,HOME
1783516392512,bot-searching-43,HOME
1783516393365,bot-browsing-32,ABOUT
1783516396684,bot-searching-43,PRODUCTS
1783516396745,bot-browsing-39,PRODUCT_DETAIL
1783516397389,bot-browsing-23,HOME
1783516397561,bot-browsing-42,PRODUCTS
1783516399473,bot-browsing-32,CONTACT
1783516399704,bot-browsing-34,PRODUCTS
1783516403565,bot-browsing-41,PRODUCTS
1783516404545,bot-browsing-25,PRODUCTS
1783516405174,bot-form_filling-44,ABOUT
1783516405204,bot-form_filling-44,HOME
1783516405750,bot-form_filling-44,ABOUT
1783516405823,bot-form_filling-44,HOME
1783516405849,bot-form_filling-44,CONTACT
1783516406393,bot-searching-43,CONTACT
1783516406454,bot-searching-43,HOME
1783516406476,bot-searching-43,ABOUT
1783516407372,bot-browsing-42,PRODUCT_DETAIL
1783516407597,bot-browsing-45,HOME
1783516408292,bot-browsing-46,HOME
1783516408653,bot-browsing-34,PRODUCT_DETAIL
1783516409658,bot-form_filling-44,SUBMIT_CONTACT
1783516413728,bot-browsing-45,PRODUCTS
1783516415414,bot-browsing-21,CONTACT
1783516416223,bot-browsing-46,PRODUCTS
1783516416348,bot-searching-43,PRODUCTS
1783516416444,bot-searching-43,PRODUCT_DETAIL
1783516416492,bot-searching-43,PRODUCTS
1783516416624,bot-form_filling-47,ABOUT
1783516417396,bot-browsing-38,HOME
1783516418171,bot-browsing-48,HOME
1783516418860,bot-form_filling-47,HOME
1783516419595,bot-form_filling-47,ABOUT
1783516419889,bot-form_filling-47,PRODUCTS
1783516419985,bot-form_filling-47,HOME
1783516420001,bot-form_filling-47,CONTACT
1783516420834,bot-browsing-42,PRODUCTS
1783516421275,bot-searching-49,HOME
