persona,session_id,start_epoch,end_epoch,status
FORM_FILLING,2,1783511159,1783511173,OK
FORM_FILLING,3,1783511170,1783511188,OK
FORM_FILLING,8,1783511189,1783511200,OK
SEARCHING,5,1783511171,1783511201,OK
FORM_FILLING,12,1783511220,1783511229,OK
SEARCHING,10,1783511217,1783511255,OK
SEARCHING,15,1783511249,1783511280,OK
FORM_FILLING,20,1783511274,1783511286,OK
SEARCHING,23,1783511289,1783511298,OK
BROWSING,1,1783511156,1783511306,OK
BROWSING,7,1783511187,1783511329,OK
SEARCHING,25,1783511313,1783511335,OK
BROWSING,13,1783511223,1783511350,OK
SEARCHING,26,1783511323,1783511358,OK
BROWSING,9,1783511217,1783511370,OK
SEARCHING,30,1783511373,1783511384,OK
BROWSING,18,1783511258,1783511387,OK
BROWSING,21,1783511278,1783511389,OK
BROWSING,11,1783511218,1783511398,OK
BROWSING,4,1783511170,1783511411,OK
SEARCHING,32,1783511409,1783511429,OK
SEARCHING,31,1783511401,1783511433,OK
BROWSING,24,1783511302,1783511446,OK
SEARCHING,33,1783511433,1783511451,OK
SEARCHING,35,1783511440,1783511452,OK
SEARCHING,37,1783511442,1783511464,OK
BROWSING,19,1783511260,1783511470,OK
SEARCHING,39,1783511447,1783511475,OK
SEARCHING,45,1783511478,1783511479,OK
SEARCHING,44,1783511477,1783511479,OK
BROWSING,6,1783511175,1783511481,OK
SEARCHING,41,1783511465,1783511504,OK
BROWSING,27,1783511351,1783511521,OK
BROWSING,16,1783511252,1783511537,OK
BROWSING,38,1783511445,1783511537,OK
BROWSING,14,1783511224,1783511542,OK
BROWSING,22,1783511279,1783511546,OK
BROWSING,28,1783511361,1783511553,OK
SEARCHING,50,1783511551,1783511555,OK
BROWSING,34,1783511434,1783511557,OK
SEARCHING,49,1783511536,1783511566,OK
BROWSING,17,1783511254,1783511568,OK
BROWSING,46,1783511514,1783511593,OK
BROWSING,29,1783511372,1783511594,OK
BROWSING,40,1783511447,1783511595,OK
SEARCHING,56,1783511603,1783511613,OK
FORM_FILLING,58,1783511607,1783511614,OK
SEARCHING,57,1783511606,1783511619,OK
BROWSING,36,1783511440,1783511620,OK
SEARCHING,62,1783511640,1783511652,OK
BROWSING,54,1783511594,1783511652,OK
BROWSING,48,1783511524,1783511654,OK
FORM_FILLING,63,1783511648,1783511657,OK
SEARCHING,60,1783511625,1783511661,OK
FORM_FILLING,64,1783511662,1783511672,OK
BROWSING,53,1783511579,1783511683,OK
SEARCHING,67,1783511683,1783511690,OK
BROWSING,47,1783511515,1783511693,OK
BROWSING,61,1783511632,1783511711,OK
BROWSING,55,1783511602,1783511713,OK
SEARCHING,68,1783511689,1783511719,OK
BROWSING,43,1783511472,1783511730,OK
BROWSING,51,1783511574,1783511734,OK
BROWSING,59,1783511619,1783511738,OK
BROWSING,42,1783511466,1783511741,OK
FORM_FILLING,75,1783511733,1783511742,OK
SEARCHING,73,1783511731,1783511749,OK
FORM_FILLING,71,1783511715,1783511750,OK
SEARCHING,76,1783511735,1783511755,OK
SEARCHING,72,1783511722,1783511760,OK
BROWSING,52,1783511576,1783511772,OK
BROWSING,70,1783511711,1783511790,OK
SEARCHING,78,1783511767,1783511799,OK
BROWSING,65,1783511674,1783511828,OK
BROWSING,66,1783511675,1783511830,OK
FORM_FILLING,81,1783511844,1783511864,OK
BROWSING,69,1783511692,1783511880,OK
SEARCHING,84,1783511861,1783511882,OK
SEARCHING,87,1783511888,1783511906,OK
SEARCHING,88,1783511894,1783511909,OK
SEARCHING,83,1783511859,1783511911,FAIL
BROWSING,74,1783511733,1783511939,OK
BROWSING,77,1783511747,1783511940,OK
SEARCHING,97,1783511950,1783511966,OK
FORM_FILLING,98,1783511964,1783511983,OK
BROWSING,80,1783511813,1783511994,OK
SEARCHING,101,1783511990,1783511997,OK
SEARCHING,103,1783511995,1783512004,OK
FORM_FILLING,102,1783511995,1783512005,OK
BROWSING,95,1783511934,1783512008,OK
FORM_FILLING,104,1783511999,1783512009,OK
FORM_FILLING,105,1783512008,1783512015,OK
BROWSING,94,1783511920,1783512032,OK
BROWSING,79,1783511769,1783512037,OK
SEARCHING,110,1783512034,1783512043,OK
SEARCHING,107,1783512020,1783512048,OK
SEARCHING,112,1783512053,1783512057,OK
BROWSING,90,1783511907,1783512068,OK
BROWSING,93,1783511912,1783512076,OK
BROWSING,82,1783511858,1783512078,OK
BROWSING,91,1783511909,1783512094,OK
BROWSING,96,1783511948,1783512113,OK
BROWSING,109,1783512033,1783512116,OK
BROWSING,89,1783511905,1783512118,OK
BROWSING,92,1783511909,1783512120,OK
BROWSING,85,1783511861,1783512129,OK
BROWSING,86,1783511867,1783512139,OK
BROWSING,99,1783511979,1783512153,OK
BROWSING,108,1783512020,1783512178,OK
SEARCHING,120,1783512159,1783512186,OK
BROWSING,106,1783512015,1783512193,OK
BROWSING,100,1783511986,1783512202,OK
SEARCHING,122,1783512178,1783512213,OK
SEARCHING,123,1783512192,1783512214,OK
BROWSING,113,1783512068,1783512220,OK
BROWSING,111,1783512053,1783512251,OK
SEARCHING,125,1783512238,1783512254,OK
FORM_FILLING,127,1783512246,1783512255,OK
FORM_FILLING,128,1783512256,1783512267,OK
FORM_FILLING,129,1783512257,1783512270,OK
BROWSING,115,1783512135,1783512279,OK
SEARCHING,130,1783512259,1783512286,OK
BROWSING,114,1783512105,1783512299,OK
BROWSING,117,1783512139,1783512306,OK
FORM_FILLING,137,1783512307,1783512317,OK
SEARCHING,136,1783512299,1783512332,OK
BROWSING,118,1783512148,1783512338,OK
SEARCHING,141,1783512341,1783512343,OK
BROWSING,119,1783512159,1783512346,OK
BROWSING,126,1783512244,1783512367,OK
BROWSING,121,1783512163,1783512388,OK
BROWSING,131,1783512267,1783512407,OK
SEARCHING,150,1783512407,1783512411,OK
SEARCHING,148,1783512405,1783512413,OK
BROWSING,135,1783512292,1783512419,OK
FORM_FILLING,151,1783512413,1783512421,OK
SEARCHING,149,1783512405,1783512425,OK
SEARCHING,152,1783512422,1783512430,OK
BROWSING,138,1783512320,1783512432,OK
BROWSING,124,1783512229,1783512441,OK
BROWSING,116,1783512136,1783512442,OK
BROWSING,133,1783512272,1783512444,OK
BROWSING,134,1783512281,1783512445,OK
BROWSING,143,1783512368,1783512448,OK
BROWSING,140,1783512339,1783512476,OK
SEARCHING,155,1783512442,1783512481,OK
BROWSING,132,1783512267,1783512483,OK
SEARCHING,156,1783512459,1783512487,OK
FORM_FILLING,161,1783512485,1783512494,OK
SEARCHING,164,1783512490,1783512499,OK
SEARCHING,162,1783512486,1783512504,OK
SEARCHING,163,1783512489,1783512513,OK
SEARCHING,165,1783512498,1783512518,OK
SEARCHING,167,1783512503,1783512523,FAIL
SEARCHING,170,1783512518,1783512526,OK
SEARCHING,168,1783512506,1783512536,OK
BROWSING,139,1783512332,1783512551,OK
BROWSING,166,1783512500,1783512559,OK
BROWSING,157,1783512462,1783512559,OK
SEARCHING,171,1783512540,1783512566,OK
SEARCHING,173,1783512563,1783512570,OK
SEARCHING,172,1783512543,1783512570,FAIL
BROWSING,158,1783512468,1783512581,OK
SEARCHING,174,1783512574,1783512584,OK
BROWSING,146,1783512387,1783512585,OK
SEARCHING,159,1783512475,1783512599,OK
BROWSING,153,1783512425,1783512600,OK
BROWSING,147,1783512393,1783512601,OK
BROWSING,144,1783512380,1783512607,OK
BROWSING,160,1783512477,1783512620,OK
SEARCHING,180,1783512607,1783512631,OK
BROWSING,154,1783512436,1783512652,OK
BROWSING,142,1783512344,1783512661,OK
BROWSING,145,1783512383,1783512672,OK
FORM_FILLING,187,1783512674,1783512695,OK
SEARCHING,191,1783512696,1783512708,FAIL
BROWSING,181,1783512619,1783512711,OK
BROWSING,175,1783512577,1783512719,OK
BROWSING,179,1783512607,1783512759,OK
BROWSING,185,1783512639,1783512775,OK
SEARCHING,196,1783512748,1783512794,OK
BROWSING,176,1783512590,1783512815,OK
BROWSING,169,1783512510,1783512822,OK
SEARCHING,201,1783512822,1783512824,OK
SEARCHING,198,1783512775,1783512824,OK
BROWSING,183,1783512620,1783512828,OK
BROWSING,195,1783512739,1783512834,OK
SEARCHING,202,1783512824,1783512838,OK
BROWSING,186,1783512643,1783512842,OK
BROWSING,178,1783512597,1783512842,OK
SEARCHING,208,1783512842,1783512847,OK
SEARCHING,209,1783512847,1783512849,OK
BROWSING,189,1783512692,1783512853,OK
BROWSING,177,1783512594,1783512861,OK
SEARCHING,211,1783512853,1783512861,OK
BROWSING,194,1783512718,1783512868,OK
BROWSING,192,1783512696,1783512870,OK
BROWSING,184,1783512638,1783512873,OK
BROWSING,193,1783512703,1783512874,OK
SEARCHING,199,1783512794,1783512889,OK
SEARCHING,214,1783512871,1783512890,OK
BROWSING,182,1783512619,1783512890,OK
SEARCHING,206,1783512838,1783512892,OK
BROWSING,210,1783512849,1783512903,OK
SEARCHING,218,1783512915,1783512927,FAIL
BROWSING,188,1783512682,1783512931,OK
BROWSING,205,1783512834,1783512939,OK
BROWSING,190,1783512693,1783512941,OK
SEARCHING,223,1783512953,1783512967,OK
SEARCHING,222,1783512943,1783512983,OK
BROWSING,200,1783512815,1783512988,OK
BROWSING,221,1783512933,1783512992,OK
BROWSING,207,1783512842,1783512998,OK
BROWSING,215,1783512899,1783513023,OK
BROWSING,220,1783512931,1783513053,OK
BROWSING,203,1783512824,1783513057,OK
BROWSING,212,1783512861,1783513070,OK
BROWSING,219,1783512922,1783513076,OK
BROWSING,213,1783512861,1783513084,OK
BROWSING,197,1783512759,1783513088,OK
BROWSING,204,1783512828,1783513145,OK
BROWSING,217,1783512912,1783513192,OK
BROWSING,216,1783512904,1783513213,OK
