src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.3,192.168.10.1,49848,80,6,2026-07-06 17:23:58,35820058.0,1654.4082647772373,2.2892201905424048,1.1446100952712024,1.1446100952712024,41,41,7012,52249,597,66,171.02439024390245,185.47309157341107,1514,66,1274.3658536585365,459.6094182788389,1514,66,722.6951219512196,653.575656490274,427161.1387566926,820,820,20,10,442222.93827160494,14503928.0,0.0,2205961.6232014527,35820058.0,14503928.0,0.0,895501.45,3073805.2452979516,35819270.0,14507130.0,3.0,895481.75,3074839.392070111,10,16,0,0,2,2,0,26,81,0,2,1.0,722.6951219512196,65535,501,10616274.0,2732.0,5309503.0,5306771.0,14501196.0,9007025.0,11754110.5,2747085.5,0,0,7026.166666666667,5.333333333333333,0,184899122.8070175438596491228,171.02439024390245,1274.3658536585365,0,41,41,7012,52249
192.168.10.3,192.168.10.1,49849,80,6,2026-07-06 17:23:58,35816175.0,5053.722235833391,6.002874399625309,2.6524328742530434,3.3504415253722653,95,120,11777,169228,541,66,123.96842105263158,145.83555646373034,1514,66,1410.2333333333333,319.5147292727242,1514,66,841.8837209302326,688.7703910560158,474404.65159545693,1900,2400,20,13,167365.30373831774,14432826.0,0.0,1370343.6636797122,35816175.0,14432826.0,0.0,381023.1382978723,2047847.1828744812,35815425.0,14433804.0,3.0,300969.9579831933,1827176.4509300138,13,32,0,0,2,2,0,45,214,0,2,1.263157894736842,841.8837209302326,65535,501,14430776.0,2081.0,7216428.5,7214347.5,14430745.0,12891600.0,13661172.5,769572.5,0,0,16585.666666666668,11.777777777777779,0,25125568.08618077764686079785,123.96842105263158,1410.2333333333333,0,95,120,11777,169228
192.168.10.3,192.168.10.1,49850,80,6,2026-07-06 17:23:58,35812633.0,2111.1265401792716,2.624772102068005,1.2006936211587682,1.4240784809092368,43,51,5403,70202,503,66,125.65116279069767,147.3494318169821,1514,66,1376.5098039215686,385.61600185193987,1514,66,804.3085106382979,692.0535587838859,478938.12822544144,860,1020,20,6,385082.0752688172,14501436.0,0.0,1985997.1490321888,35812633.0,14501436.0,0.0,852681.7380952381,2887011.9785227277,35812024.0,14504447.0,3.0,716240.48,2665199.0159110236,6,15,0,0,2,2,0,21,93,0,2,1.186046511627907,804.3085106382979,65535,501,14498399.0,2392.0,7250395.5,7248003.5,14499044.0,11536865.0,13017954.5,1481089.5,0,0,11138.0,8.0,0,44641282.56513026052104208417,125.65116279069767,1376.5098039215686,0,43,51,5403,70202
192.168.10.3,192.168.10.1,49851,80,6,2026-07-06 17:23:58,35814307.0,3531.884618066182,4.188270346819778,1.8428389526007023,2.3454313942190756,66,84,6904,119588,541,66,104.60606060606061,121.8043486793819,1514,66,1423.6666666666667,311.21701712154453,1514,66,843.28,699.6312278145775,489483.8549333333,1320,1680,20,6,240364.47651006712,14499440.0,0.0,1644859.7463420553,35814307.0,14499440.0,0.0,550989.3384615384,2455775.509068131,35813511.0,14503092.0,3.0,431488.0843373494,2185747.212548133,6,20,0,0,2,2,0,26,149,0,2,1.2727272727272727,843.28,65535,501,10365120.0,2958.0,5184039.0,5181081.0,14496482.0,8761256.0,11628869.0,2867613.0,0,0,17827.0,12.5,0,24605935.12767425810904071774,104.60606060606061,1423.6666666666667,0,66,84,6904,119588
192.168.10.3,192.168.10.1,49852,80,6,2026-07-06 17:23:58,35813964.0,1096.2763016124102,1.507791765245534,0.7259738128959978,0.7818179523495361,26,28,3850,35412,491,66,148.07692307692307,167.05317510783644,1514,66,1264.7142857142858,488.12051037941563,1514,66,727.074074074074,669.5310368667358,448271.80932784633,520,560,20,5,675735.1698113207,14504977.0,3.0,2704638.828729491,35813964.0,14504977.0,110.0,1432558.56,3797862.218024483,35813180.0,14507598.0,3.0,1326414.0740740742,3675085.3329741876,5,10,0,0,2,2,0,15,53,0,2,1.0769230769230769,727.074074074074,65535,501,14503483.0,2607.0,7253045.0,7250438.0,14502370.0,12892723.0,13697546.5,804823.5,0,0,6711.2,5.0,0,246735294.1176470588235294118,148.07692307692307,1264.7142857142858,0,26,28,3850,35412
192.168.10.3,192.168.10.1,49860,80,6,2026-07-06 17:24:17,17037780.0,895.4218213875281,1.5847135014068734,0.8803963896704852,0.7043171117363881,15,12,2338,12918,597,66,155.86666666666667,179.9980987553912,1514,66,1076.5,603.1795614353435,1514,66,565.0370370370371,623.6788989525205,388975.36899862834,300,240,20,3,655299.2307692308,11534292.0,4.0,2327103.0921515557,17037780.0,11534292.0,173.0,1216984.2857142857,3061637.8540151264,17036990.0,11538168.0,4.0,1548817.2727272727,3380424.1994048366,3,4,0,0,2,2,0,7,26,0,2,0.8,565.0370370370371,65535,501,0,0,0,0,0,0,0,0,0,0,8499.0,6.0,0,124985294.1176470588235294118,155.86666666666667,1076.5,0,15,12,2338,12918
