attack_type,metric,latent8_mean,latent8_std,latent10_mean,latent10_std,paired_diff_mean,diff_ci95_lo,diff_ci95_hi,ci_excludes_zero
portscan,roc_auc,0.999002624544391,0.0005119733071924114,0.9987820183219561,0.0004877574577716951,0.00022060622243481043,2.1387797558588275e-05,0.00040698050857523746,True
portscan,pr_auc,0.9925272969677067,0.002644276830576292,0.9911489411970456,0.0025073824628202737,0.0013783557706611937,0.000347602386266907,0.0023857472130207197,True
portscan,attack_recall,0.9982708933717579,0.007732799922189486,0.9982708933717579,0.007732799922189486,0.0,0.0,0.0,False
portscan,f1,0.7711024558975699,0.022891806666945274,0.7785434154351218,0.018344407117386913,-0.007440959537552061,-0.0196247970822613,0.004201209991102131,False
portscan,benign_fpr,0.06032839759566046,0.00755861696165709,0.057726139862190294,0.005773038050438691,0.0026022577334701654,-0.0014660606949127685,0.006832026095880366,False
apache_bench,roc_auc,0.701989487250448,0.0781407878215227,0.6669548267953302,0.08896857834792893,0.035034660455117675,-0.013656875198600983,0.08642807541477335,False
apache_bench,pr_auc,0.27560881031611284,0.043870479299274345,0.25651688081676993,0.039111948429905743,0.019091929499342863,-0.005537898934462675,0.04352802146009104,False
apache_bench,attack_recall,0.026227303295225286,0.0,0.026227303295225286,0.0,0.0,0.0,0.0,False
apache_bench,f1,0.04028521065774836,0.0010741470542162907,0.04064652962926605,0.0008335761282725929,-0.0003613189715176931,-0.0009521842129487783,0.00020489149934067342,False
apache_bench,benign_fpr,0.06032839759566046,0.00755861696165709,0.057726139862190294,0.005773038050438691,0.0026022577334701654,-0.001385427356692566,0.006810035185456674,False
slowloris,roc_auc,1.0,5.695323946259567e-17,1.0,5.695323946259567e-17,0.0,-4.4408920985006264e-17,3.8857805861880476e-17,False
slowloris,pr_auc,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False
slowloris,attack_recall,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False
slowloris,f1,0.8190846659408774,0.01863730700957182,0.8253756918704653,0.01443008101275693,-0.006291025929588046,-0.016713753811479305,0.003477211486581514,False
slowloris,benign_fpr,0.06032839759566046,0.00755861696165709,0.057726139862190294,0.005773038050438691,0.0026022577334701654,-0.0014440697844890775,0.006736732150711037,False
