attack_type,seed,n_benign,n_attack,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,recall__portscan,recall__apache_bench,recall__slowloris
portscan,0,6821,694,0.10925544798374155,0.9911806634466296,0.9988206027579686,0.8,0.0508723061134731,1.0,1.0,,
portscan,1,6821,694,0.10005034804344176,0.9912792473590675,0.9988381363368847,0.7584699453551913,0.0647998827151444,1.0,1.0,,
portscan,2,6821,694,0.081764455139637,0.9941242671885187,0.9992940093887034,0.7371216144450345,0.07257000439818208,1.0,1.0,,
portscan,3,6821,694,0.05163096711039543,0.9941624268900306,0.9992999243309884,0.7922374429223744,0.053364609294824804,1.0,1.0,,
portscan,4,6821,694,0.09380658864974975,0.9941095277678692,0.9992914744134384,0.7855121675155631,0.05556370033719396,1.0,1.0,,
portscan,5,6821,694,0.06251802816987036,0.9934686235170382,0.9991959903451244,0.7685492801771872,0.06128133704735376,1.0,1.0,,
portscan,6,6821,694,0.08688301295042027,0.9934256089411845,0.9991913428904717,0.7715397443023903,0.060255094560914824,1.0,1.0,,
portscan,7,6821,694,0.07942492961883524,0.9914976247876436,0.9988753159741043,0.8083867210250437,0.04823339686263011,1.0,1.0,,
portscan,8,6821,694,0.06272627711296078,0.9926531314024885,0.9990688190859979,0.8074461896451425,0.04852660900161267,1.0,1.0,,
portscan,9,6821,694,0.059071376174688335,0.9941860783639928,0.9993022480583147,0.7967853042479908,0.05189854859991204,1.0,1.0,,
portscan,10,6821,694,0.08543913364410351,0.9931712882623256,0.9991509945341707,0.7458355722729715,0.06934467086937399,1.0,1.0,,
portscan,11,6821,694,0.0735802337527275,0.9908718543012096,0.9987625095748129,0.7474421109316102,0.06875824659140889,1.0,1.0,,
portscan,12,6821,694,0.07837940901517866,0.9928669891952329,0.9991034637479524,0.7877412031782066,0.054830669989737575,1.0,1.0,,
portscan,13,6821,694,0.05934315770864485,0.9964420336865952,0.9996041213627858,0.7797752808988764,0.05746957924058056,1.0,1.0,,
portscan,14,6821,694,0.07835060358047484,0.9943405004214914,0.999325485331577,0.7470398277717977,0.06890485266090016,1.0,1.0,,
portscan,15,6821,694,0.05222540795803067,0.9940079507607633,0.9992768983056648,0.7706829539144919,0.06054830669989737,1.0,1.0,,
portscan,16,6821,694,0.05168005749583236,0.9947840318726607,0.9993867472338138,0.7660044150110376,0.062160973464301425,1.0,1.0,,
portscan,17,6821,694,0.13469355106353756,0.9860626864966459,0.9976731039546881,0.7444444444444445,0.06392024629819675,0.9654178674351584,0.9654178674351584,,
portscan,18,6821,694,0.07805780172348022,0.9920989671531306,0.9989790387120299,0.7655819084390513,0.0623075795337927,1.0,1.0,,
portscan,19,6821,694,0.10533549189567559,0.9858124375396192,0.9976122645483287,0.7414529914529915,0.07095733763377804,1.0,1.0,,
apache_bench,0,6821,1487,0.10925544798374155,0.3129365384390941,0.7677845634160969,0.04164442071542979,0.0508723061134731,0.026227303295225286,,0.026227303295225286,
apache_bench,1,6821,1487,0.10005034804344176,0.21035378017639772,0.5722797007185473,0.039634146341463415,0.0647998827151444,0.026227303295225286,,0.026227303295225286,
apache_bench,2,6821,1487,0.081764455139637,0.30005853522576564,0.7518122905970889,0.03859475507174666,0.07257000439818208,0.026227303295225286,,0.026227303295225286,
apache_bench,3,6821,1487,0.05163096711039543,0.22929162351347462,0.6229197244515754,0.04126984126984127,0.053364609294824804,0.026227303295225286,,0.026227303295225286,
apache_bench,4,6821,1487,0.09380658864974975,0.33671794324538495,0.7960135768854185,0.04094488188976378,0.05556370033719396,0.026227303295225286,,0.026227303295225286,
apache_bench,5,6821,1487,0.06251802816987036,0.22170324961623972,0.6014360197605659,0.040123456790123455,0.06128133704735376,0.026227303295225286,,0.026227303295225286,
apache_bench,6,6821,1487,0.08688301295042027,0.3278478767119855,0.78555091198933,0.040268456375838924,0.060255094560914824,0.026227303295225286,,0.026227303295225286,
apache_bench,7,6821,1487,0.07942492961883524,0.28916537128766284,0.736563238237229,0.042048517520215635,0.04823339686263011,0.026227303295225286,,0.026227303295225286,
apache_bench,8,6821,1487,0.06272627711296078,0.22683463571327958,0.6138366552047078,0.0420032310177706,0.04852660900161267,0.026227303295225286,,0.026227303295225286,
apache_bench,9,6821,1487,0.059071376174688335,0.2929723669647318,0.7429541093424941,0.04148936170212766,0.05189854859991204,0.026227303295225286,,0.026227303295225286,
apache_bench,10,6821,1487,0.08543913364410351,0.27874173759386667,0.7208857057307592,0.03901950975487744,0.06934467086937399,0.026227303295225286,,0.026227303295225286,
apache_bench,11,6821,1487,0.0735802337527275,0.2665100706741366,0.6990992747879856,0.039097744360902256,0.06875824659140889,0.026227303295225286,,0.026227303295225286,
apache_bench,12,6821,1487,0.07837940901517866,0.3198403783639614,0.7749225142063451,0.04105263157894737,0.054830669989737575,0.026227303295225286,,0.026227303295225286,
apache_bench,13,6821,1487,0.05934315770864485,0.23859359008385392,0.6441495058527569,0.040667361835245046,0.05746957924058056,0.026227303295225286,,0.026227303295225286,
apache_bench,14,6821,1487,0.07835060358047484,0.2856941870070122,0.729643914857268,0.03907815631262525,0.06890485266090016,0.026227303295225286,,0.026227303295225286,
apache_bench,15,6821,1487,0.05222540795803067,0.338505006655357,0.7961502251788382,0.040226921093347086,0.06054830669989737,0.026227303295225286,,0.026227303295225286,
apache_bench,16,6821,1487,0.05168005749583236,0.25192147751488825,0.6728538305937782,0.04,0.062160973464301425,0.026227303295225286,,0.026227303295225286,
apache_bench,17,6821,1487,0.13469355106353756,0.20453733681959613,0.5506135025274512,0.039755351681957186,0.06392024629819675,0.026227303295225286,,0.026227303295225286,
apache_bench,18,6821,1487,0.07805780172348022,0.2550609139600656,0.6775511896239579,0.03997949769349052,0.0623075795337927,0.026227303295225286,,0.026227303295225286,
apache_bench,19,6821,1487,0.10533549189567559,0.3248895867555014,0.7827692910467663,0.03880597014925373,0.07095733763377804,0.026227303295225286,,0.026227303295225286,
slowloris,0,6821,929,0.10925544798374155,1.0,1.0000000000000002,0.8426303854875283,0.0508723061134731,1.0,,,1.0
slowloris,1,6821,929,0.10005034804344176,1.0,1.0,0.8078260869565217,0.0647998827151444,1.0,,,1.0
slowloris,2,6821,929,0.081764455139637,1.0,1.0,0.7896302592435189,0.07257000439818208,1.0,,,1.0
slowloris,3,6821,929,0.05163096711039543,1.0,1.0,0.8361836183618362,0.053364609294824804,1.0,,,1.0
slowloris,4,6821,929,0.09380658864974975,1.0,1.0,0.8305766651765758,0.05556370033719396,1.0,,,1.0
slowloris,5,6821,929,0.06251802816987036,1.0,1.0,0.8163444639718805,0.06128133704735376,1.0,,,1.0
slowloris,6,6821,929,0.08688301295042027,1.0,1.0,0.8188629352137505,0.060255094560914824,1.0,,,1.0
