group,n,mean_error,std_error,pct_above_mean_threshold95
benign,6821,0.060531232720011256,0.6591633332696707,0.045741093681278405
apache_bench,1487,5.7460873634444845,37.88026264220816,0.026227303295225286
portscan+slowloris,1623,56906.236413066224,50282.266374282364,1.0
