attack_type_pair,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
portscan+apache_bench,6821,2181,0.6022720788497539,0.037001823768843124,0.7921365908785212,0.05393156708208572,0.4374950808680234,0.006880233657201982,0.061545227972438055,0.0022650519122766923,0.3338835396607061,0.004921194998624034
portscan+slowloris,6821,1623,0.9980829447723348,0.0008366432479805875,0.9994656421043236,0.0002788046039235659,0.8840276995656066,0.0067791785362312255,0.061545227972438055,0.0022650519122766923,0.9970425138632162,0.006613140044361677
apache_bench+slowloris,6821,2416,0.6662732291203801,0.034445306876325354,0.8127140594249742,0.04868884718214593,0.508971420203269,0.0020621721360980735,0.061545227972438055,0.0022650519122766923,0.40066225165562913,0.0
