attack_type,n_benign,n_attack,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std
apache_bench,6821,1487,0.903455009103126,0.0805248044646721,0.9835821314905597,0.012291647487125882,0.8427834214944527,0.03368723027953732,0.06635390705175194,0.01098499233417399,0.9499663752521856,0.04526895190237602
portscan,6821,694,0.9982593507818199,0.0006464208327479496,0.9998095811080123,7.143798127844714e-05,0.7551093692752276,0.030949540812540373,0.06635390705175194,0.01098499233417399,1.0,0.0
slowloris,6821,929,1.0,0.0,1.0,5.551115123125783e-17,0.8048005057393967,0.02623379246979153,0.06635390705175194,0.01098499233417399,1.0,0.0
