arm,seed,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,fpr_0208_neverseen
v1_0pct_det,0,0.08978675752878187,0.7339428664284192,0.903146076829626,0.6482758620689655,0.0382262996941896,0.6438356164383562,0.04395604395604396
v1_0pct_det,1,0.08491270095109933,0.752283558400021,0.9248460475053413,0.6527777777777778,0.03669724770642202,0.6438356164383562,0.04395604395604396
v1_0pct_det,2,0.10089417546987527,0.7253704378418827,0.8889028528339826,0.6394557823129252,0.04128440366972477,0.6438356164383562,0.04395604395604396
v1_0pct_det,3,0.09607517421245573,0.7259386485534624,0.8902852833982657,0.6438356164383562,0.039755351681957186,0.6438356164383562,0.05128205128205128
v1_0pct_det,4,0.10465369373559946,0.7252429846774239,0.8892379875162331,0.6527777777777778,0.03669724770642202,0.6438356164383562,0.040293040293040296
v1_0pct_det,5,0.04287732690572738,0.7146896408990876,0.8678103137698463,0.6143790849673203,0.05045871559633028,0.6438356164383562,0.05860805860805861
v1_0pct_det,6,0.1092524468898773,0.7121446399546145,0.8616522139834946,0.6482758620689655,0.0382262996941896,0.6438356164383562,0.04395604395604396
v1_0pct_det,7,0.07523494511842718,0.7255494499065084,0.8896150140337649,0.6482758620689655,0.0382262996941896,0.6438356164383562,0.04395604395604396
v1_0pct_det,8,0.11536640375852582,0.6982120618937645,0.8177495706086884,0.6266666666666667,0.045871559633027525,0.6438356164383562,0.04395604395604396
v1_0pct_det,9,0.08032118827104566,0.7118003948149245,0.8604582966779775,0.6482758620689655,0.0382262996941896,0.6438356164383562,0.05128205128205128
v1_0pct_det,10,0.050841983407735776,0.7460052875493215,0.9183109212014579,0.6225165562913907,0.047400611620795105,0.6438356164383562,0.05860805860805861
v1_0pct_det,11,0.10515065044164651,0.7226793088836208,0.8844413723765239,0.6351351351351351,0.04281345565749235,0.6438356164383562,0.05860805860805861
v1_0pct_det,12,0.11453232169151305,0.6952305076103823,0.805202965941938,0.6308724832214765,0.04434250764525994,0.6438356164383562,0.04395604395604396
v1_0pct_det,13,0.08587242811918258,0.7180822963379023,0.8745339533324954,0.6527777777777778,0.03669724770642202,0.6438356164383562,0.047619047619047616
v1_0pct_det,14,0.06851890832185745,0.7259364630401148,0.8904319048217502,0.6351351351351351,0.04281345565749235,0.6438356164383562,0.05128205128205128
v1_0pct_det,15,0.06101732999086379,0.7399608625575487,0.9110636336977923,0.6266666666666667,0.045871559633027525,0.6438356164383562,0.04395604395604396
v1_0pct_det,16,0.0733539402484893,0.768941861005187,0.9393825143479536,0.6143790849673203,0.05045871559633028,0.6438356164383562,0.047619047619047616
v1_0pct_det,17,0.1528607279062271,0.7264119958177396,0.8913116333626576,0.6438356164383562,0.039755351681957186,0.6438356164383562,0.047619047619047616
v1_0pct_det,18,0.1053469777107238,0.7323606082634387,0.9004021616187006,0.6266666666666667,0.045871559633027525,0.6438356164383562,0.05128205128205128
v1_0pct_det,19,0.089127978682518,0.7465589560749208,0.9191068660718026,0.6308724832214765,0.04434250764525994,0.6438356164383562,0.04395604395604396
