arm,threshold_95_mean,threshold_95_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,benign_fpr_mean,benign_fpr_std,attack_recall_mean,attack_recall_std,fpr_w10_mean,fpr_w10_std,fpr_0208_mean,fpr_0208_std,fpr_0208_neverseen_mean,fpr_0208_neverseen_std
v1_0pct_det,0.09029990296810861,0.025224092134194732,0.7273671415255143,0.017672910967683312,0.8863945791965147,0.03294308346863814,0.6370926879869044,0.012545221066623749,0.04220183486238532,0.004475820400863833,0.6438356164383562,0.0,,,,,0.04798534798534799,0.005561572560558594
v2_0pct,0.12153577992692602,0.03910279567299221,0.751618794623495,0.02813950953388394,0.8960608437081332,0.05044116756215601,0.7041221088829852,0.022262828958105416,0.025577557755775575,0.007553578113506561,0.6673267326732674,0.009310145464982733,0.020440251572327046,0.007068572162880709,0.037545787545787544,0.014885122726872691,,
v2_4pct,0.25002469073981054,0.11361639885313567,0.6528534859847424,0.039341059643009144,0.8098035051029855,0.04058967968985026,0.6507067261663041,0.0564128389846735,0.03547854785478548,0.015268101064787331,0.6341584158415842,0.05830798815711235,0.030817610062893082,0.014531103074363092,0.04633699633699634,0.02143388484395581,,
