contamination_pct,pr_auc_mean,pr_auc_ci95_lo,pr_auc_ci95_hi,f1_mean,f1_ci95_lo,f1_ci95_hi,benign_fpr_mean,benign_fpr_ci95_lo,benign_fpr_ci95_hi,attack_recall_mean,attack_recall_ci95_lo,attack_recall_ci95_hi
0,0.7155507369668037,0.7115528250945076,0.7189873359553535,0.6380387844961627,0.6307693016625127,0.6461541890806435,0.04243119266055041,0.03975535168195713,0.04495412844036691,0.6458904109589041,0.6438356164383561,0.6479452054794519
1,0.6974784227771181,0.6871339627134858,0.7059399831344221,0.6434023994899511,0.6332845709042495,0.6536591511022543,0.039831804281345536,0.0359327217125382,0.04388379204892963,0.6424657534246575,0.6308219178082191,0.6499999999999999
2,0.6912696340709001,0.6868672640316714,0.695904419598295,0.6352494148034193,0.6278979112823438,0.6423610676117946,0.04327217125382258,0.0405963302752293,0.046177370030580984,0.6452054794520548,0.6424657534246574,0.6479452054794519
4,0.6759387219639041,0.6632536401788403,0.6859023515480988,0.6392014250074605,0.6307965212038145,0.6471626512385567,0.040519877675840935,0.0380733944954128,0.04296636085626908,0.6397260273972603,0.6335616438356164,0.6445205479452054
8,0.6390399376059255,0.6111052321813567,0.6630334125416331,0.6088219825311718,0.5826376290654098,0.6307167763209196,0.041666666666666616,0.03906727828746172,0.04449541284403665,0.6027397260273972,0.5705479452054794,0.6294520547945205
12,0.6341171226201693,0.5943552383512879,0.6678675049008246,0.5935688170405584,0.5548899935724044,0.6236759762398659,0.04304281345565744,0.041666666666666616,0.04441896024464828,0.5904109589041096,0.5417636986301368,0.6294520547945204
15,0.6399496911770244,0.5967436630985917,0.6742887901788504,0.5956943181272417,0.5507018530408242,0.63245549389273,0.041743119266055,0.04005925076452594,0.04342507645259934,0.5904109589041096,0.5349143835616438,0.6363013698630137
20,0.6619908618596367,0.6290425328087237,0.6889847258961351,0.6129083494728523,0.5788861701017038,0.6383682357768139,0.04128440366972472,0.039525993883792,0.043730886850152854,0.6095890410958903,0.5657534246575342,0.6410958904109588
22,0.6648243461201248,0.6251595053712136,0.6982726321755407,0.599755714537811,0.5621252291079224,0.6296984636943544,0.0421253822629969,0.04059633027522931,0.043654434250764484,0.595890410958904,0.5479452054794519,0.6356164383561642
