flow_id,window_id,ts,is_attack,duration_scaled,orig_bytes_scaled,resp_bytes_scaled,orig_pkts_scaled,resp_pkts_scaled,bytes_per_sec_scaled,pkts_per_sec_scaled,byte_ratio_scaled,proto_tcp,proto_udp,service_dns,service_http,service_none,service_ssh,conn_state_REJ,conn_state_RSTO,conn_state_S1,conn_state_SF
window_resampled_20pct::CAA94F3OR2Cx6vCVWe,window_resampled_20pct,1783690514.286332,0,18.753996577528174,16.890924326803887,10.01554567797025,17.336829430117138,12.224077247065392,-0.24916180605428273,-0.23690916332371434,0.5780696071521204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CwVttj4b7mDilicXzb,window_resampled_20pct,1783691602.800804,0,7.133880730939743,6.12077903313432,3.314270218957464,6.269609888423564,4.178741825412513,-0.24918930701144107,-0.2369183830529711,0.5755806433974993,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::Ct5eCUutV05IKQTCj,window_resampled_20pct,1783691690.669164,0,6.195868291631249,3.992495507879133,2.0032000608534135,4.091300010375939,2.625686569966862,-0.24933076718310135,-0.2369736494936893,0.5679853771130522,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CIX0lb2iggq5mnpzOi,window_resampled_20pct,1783691884.144119,0,2.0807699956201366,0.6935621580766602,1.0544454102672205,0.736000117576775,1.047171392300791,-0.24949459244734565,-0.237028873763865,-0.16709643582115805,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CbDiY94cxNbpEBdy5,window_resampled_20pct,1783691926.409132,0,0.6134775481686255,0.16091753108161147,0.28369378738505147,0.20898966321041426,0.23245388124733507,-0.2494249325585001,-0.23697653837667063,-0.22142004228716047,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CmXAcK1SkqNbu8UrU4,window_resampled_20pct,1783691954.761772,0,0.6192104673384151,0.2648176580865211,0.2291180888325228,0.15628861777377817,0.23245388124733507,-0.24935432431653828,-0.23699181111265777,-0.12070260959482072,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::Cl1e9j141Wd4MuQcxk,window_resampled_20pct,1783691960.198824,0,1.5163355146058728,0.9683341806980779,4.351760834064448,1.9656911777649502,3.6950033032245235,-0.24930275431289572,-0.2368137414682097,-0.4104026743210343,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CTd9tZ0qPngfEBIy9,window_resampled_20pct,1783691960.200275,0,1.5163201850030605,0.8700671931090971,1.6410545049075373,0.8765362387411378,1.4290702256070986,-0.2493391621011361,-0.23696926112857694,-0.2201957774675704,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CnOCt22tfwrI3SWB8h,window_resampled_20pct,1783691966.451187,0,0.48378214814025083,0.2612708666024178,1.785938220021685,0.7184331024312297,1.5563698367092011,-0.24928831074317878,-0.23679020660495306,-0.4198731065076557,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CJrxtE4lbDoSSquNNj,window_resampled_20pct,1783691966.461947,0,0.48366547876063093,0.2612708666024178,1.8477368603834232,0.8062681781589565,1.5563698367092011,-0.24928824257672016,-0.23676278533223186,-0.4242745513459468,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CMFGpzrOzg6XA5vwf,window_resampled_20pct,1783691966.462115,0,0.48365771788232703,0.35265290601637445,0.24041986836928622,0.20898966321041426,0.23245388124733507,-0.24921434102420933,-0.23694890999074075,-0.060168170354321544,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CoPyj94nUcHY5xmOWa,window_resampled_20pct,1783691980.528549,0,0.1077099481762036,-0.0041125903257851525,-0.1925317612533428,-0.019381533681675417,-0.12398502983855199,-0.2492793127538974,-0.23691250239994524,-0.11017518615109556,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CkEOmh3tzNRtBc2xZj,window_resampled_20pct,1783691995.661299,0,-0.33868934538882195,0.272745780227458,0.5233892357183254,0.3143917540836864,0.4615931812311196,-0.24090390761607972,-0.23294570511323595,-0.22883619690179471,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::Cwgaca2eOPAhs6bOt3,window_resampled_20pct,1783691998.477319,0,-0.32176754555031567,-0.2772155346017424,-0.5573540544579261,-0.3180207911559465,-0.5058838631448596,-0.2488357152583246,-0.23652910302925467,-0.22623345672989212,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CIvvsS3JWT1gUPlZb5,window_resampled_20pct,1783691999.30684,0,-0.3629656823046257,-0.27909324774038535,-0.6106338722740966,-0.3355878063014919,-0.53134378536528,-0.24740218984967474,-0.23573238924698373,-0.07896694620891628,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CyxrSc18xhvE5zSmLh,window_resampled_20pct,1783691999.76151,0,0.22757476001679058,-0.09758097767156731,-0.2695410673074169,-0.1599176548460383,-0.2512846409406545,-0.2494870882212185,-0.23702299266688517,-0.17593980852340774,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::C2hsvq3OshXnIgaF7j,window_resampled_20pct,1783691999.761645,0,0.22757521905085804,0.28067390236839485,0.4319977778853249,0.26169070864705035,0.3852134145698581,-0.24905431436381684,-0.23683710313677903,-0.19453641398078295,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CY7urxbkKuFiVGKq3,window_resampled_20pct,1783691999.763112,0,0.22755791453403457,-0.18833711270597633,-0.3501406003195982,-0.195051685137129,-0.327664407601916,-0.24959091976759074,-0.23703848009923284,-0.2593190199194759,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CSNlPN37nWNPSZSQL4,window_resampled_20pct,1783692001.259109,0,-0.38750245166486236,-0.28117959567221085,-0.5955506702607468,-0.3180207911559465,-0.53134378536528,-0.22146845558176195,-0.21769613523547096,-0.14538307351168647,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CyMxLB3Qr6In6qSZNd,window_resampled_20pct,1783692001.289681,0,-0.3878286434082665,-0.36984938277479434,-0.7379063557416712,-0.4058558668836733,-0.684103318687803,-0.24979859986280267,-0.22701304851136833,-0.6040302242810942,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CitdIj1hiFZwTJLTUj,window_resampled_20pct,1783692010.533843,0,0.47938230660331044,0.09478030164274329,1.4939401754111337,0.5076289206846853,1.2763106922845755,-0.24942102398651644,-0.2368543377800768,-0.4507164597168738,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CnIBfc2f0OGLsJGaRi,window_resampled_20pct,1783692021.216405,0,-0.38764959877152166,-0.279719152119933,-0.5573540544579261,-0.3004537760104012,-0.5058838631448596,-0.2189482184585853,-0.21399074323802003,-0.23644418017722194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CyIbRd2PfceCdQHwC6,window_resampled_20pct,1783692024.577662,0,-0.012124385937343838,-0.01746521708946832,1.3711714086010662,0.4549278752480493,1.1235511589620526,-0.24913948331650432,-0.2364913074018296,-0.4809857615061227,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CDLWU912m3oGgIyimj,window_resampled_20pct,1783692024.585024,0,-0.012202475104872346,-0.19000619105143673,0.08512661947127748,-0.019381533681675417,0.054234425704391534,-0.24946214279460882,-0.23683312175524393,-0.44311089541612647,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::Cgg0g22JLtHq83gMM1,window_resampled_20pct,1783692028.081343,0,-0.049526300278258634,-0.36984938277479434,-0.7379063557416712,-0.4058558668836733,-0.684103318687803,-0.24979859986280267,-0.23710619209770645,-0.6040302242810942,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CSBszQ3KLKpMrBh09j,window_resampled_20pct,1783692029.843457,0,1.132423365050968,0.29277472037298274,-0.11280323004756622,0.03331951175496066,-0.04760526317729048,-0.24949114713586945,-0.23707131881404814,0.17659657453660357,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::Cwr2Qv3kggqP4vBBte,window_resampled_20pct,1783692029.865361,0,2.071910510014951,0.8448223831340086,1.7161518557768205,0.9643713144688647,1.5309099144887806,-0.2494501005045609,-0.23700314361286245,-0.23951726448082392,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CyiSxW3eY5QxsSQnpl,window_resampled_20pct,1783692038.482642,0,1.6183380725557646,0.9583197106253155,2.3759675900481274,1.1049074356332276,2.091028203338032,-0.2493314639095103,-0.23694812110716315,-0.289912793937715,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::C7v8fmFNQKxsw8jV9,window_resampled_20pct,1783692040.245878,0,0.9245394219560615,-0.08255927256242375,-0.30408372431263747,-0.12478362455494757,-0.225824718720234,-0.24964421433975575,-0.23708965160057072,-0.11635593271125336,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CbXGl2LpbkFbkonBd,window_resampled_20pct,1783692047.791058,0,1.5189701139482334,0.2842206938524982,0.8482304216142832,0.4549278752480493,0.7925721700965861,-0.24955657770500767,-0.23702964794999326,-0.3003472210234774,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::Cu9jnn2Fx4LUJgnfm2,window_resampled_20pct,1783692050.686935,0,-0.38932524392125273,-0.279719152119933,-0.5573540544579261,-0.3004537760104012,-0.5058838631448596,-0.08561687763162457,-0.11384580961328546,-0.23644418017722194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CdKDoU1Y32YVVRVBPh,window_resampled_20pct,1783692060.621974,0,-0.3890232101800518,-0.10050186477612301,-0.5306291697638502,-0.2477527305737651,-0.45496401870401854,0.0259974237552794,-0.14704979481474012,0.3528545006392568,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::CYmsgH30Qahvxmr756,window_resampled_20pct,1783692060.637218,0,-0.38918548406051673,-0.279719152119933,-0.5573540544579261,-0.3180207911559465,-0.5058838631448596,-0.12911867090540136,-0.15558417744916692,-0.23644418017722194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
window_resampled_20pct::ChUxuc3yLp3q7pMsf,window_resampled_20pct,1783692065.756435,0,0.8832089339373609,0.6535042777856107,2.17213192340293,0.929237284177774,1.8618889033542472,-0.24923080865728361,-0.2368619268481832,-0.34505004223429697,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
