group,n,mean_error,std_error,median_error,pct_above_mean_threshold95
benign,6821,0.04871855765633956,0.6561333846885027,0.013057608489179983,0.0508723061134731
apache_bench,1487,5.743907047891844,37.91821995402063,0.017114413203671575,0.026227303295225286
portscan+slowloris,1623,56962.115767958116,50332.375375365744,88065.17392578124,1.0
